journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
Annual Review of Astronomy and Astrophysics,closed,30,3,3,5,0,15,5
JOURNAL OF AGRICULTURAL METEOROLOGY,closed,2,0,0,0,0,0,0
HUMAN HEREDITY,closed,42,2,1,2,0,17,0
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,closed,427,1,4,3,0,8,0
LANGUAGE AND SPEECH,closed,151,0,12,1,0,48,2
JOURNAL OF ARCHAEOLOGICAL RESEARCH,closed,50,4,8,1,1,21,6
AMERICAN ANNALS OF THE DEAF,closed,122,1,6,1,0,25,0
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,closed,2169,4,9,2,0,68,3
NEUROLOGY,closed,1580,336,795,412,40,1474,45
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,closed,124,0,1,0,1,20,0
JOURNAL OF ELEMENTOLOGY,closed,581,0,0,0,0,0,0
FLUID PHASE EQUILIBRIA,closed,2737,2,21,4,0,61,7
SOLAR ENERGY,closed,4001,21,109,26,17,281,27
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,closed,822,2,32,0,0,476,3
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,closed,2526,1,3,2,0,21,0
COSTUME-THE JOURNAL OF THE COSTUME SOCIETY,closed,59,3,5,2,0,19,2
GERONTOLOGIST,closed,114,13,14,14,3,85,1
PAIN MANAGEMENT NURSING,closed,384,9,45,6,4,212,0
AMERICAN JOURNAL OF POTATO RESEARCH,closed,401,6,6,1,1,32,4
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,closed,1583,1,3,3,0,13,3
RAPID COMMUNICATIONS IN MASS SPECTROMETRY,closed,1710,17,518,27,2,1280,18
INTERNATIONAL POLITICAL SOCIOLOGY,closed,128,16,43,7,4,103,4
CANADIAN REVIEW OF SOCIOLOGY-REVUE CANADIENNE DE SOCIOLOGIE,closed,155,23,13,7,4,72,2
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,closed,328,25,46,35,32,224,12
FUTURE VIROLOGY,closed,418,3,10,3,3,82,4
UKRAINIAN MATHEMATICAL JOURNAL,closed,926,0,0,0,0,2,1
POSITIVITY,closed,318,0,0,0,0,3,0
JOURNAL OF BIOCHEMISTRY,closed,495,1,16,3,0,131,6
UROLOGIA INTERNATIONALIS,closed,923,2,16,6,17,206,2
CHEMICAL BIOLOGY & DRUG DESIGN,closed,1066,5,84,85,2,523,10
JOURNAL OF THE FACULTY OF ENGINEERING AND ARCHITECTURE OF GAZI UNIVERSITY,closed,8,0,0,0,0,0,0
CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY,closed,17,1,0,1,0,6,0
TERRORISM AND POLITICAL VIOLENCE,closed,270,27,27,33,8,220,15
CLINICAL AND EXPERIMENTAL NEPHROLOGY,closed,741,3,21,5,1,144,3
EXPERT REVIEW OF ANTICANCER THERAPY,closed,779,7,17,9,15,287,9
AKTUELLE ERNAHRUNGSMEDIZIN,closed,71,0,0,0,1,0,0
EXPERT OPINION ON DRUG DELIVERY,closed,714,8,35,11,4,472,14
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY,closed,1,0,0,0,0,0,0
METABOLIC SYNDROME AND RELATED DISORDERS,closed,378,3,23,10,0,125,1
COGNITIVE AND BEHAVIORAL NEUROLOGY,closed,122,7,31,7,0,83,0
THEORETICAL AND MATHEMATICAL PHYSICS,closed,629,0,4,0,0,8,1
BIOSENSORS & BIOELECTRONICS,closed,5462,63,194,79,5,2012,19
IEEE VEHICULAR TECHNOLOGY MAGAZINE,closed,192,1,1,1,0,5,3
JOURNAL FOR NATURE CONSERVATION,closed,393,18,56,11,11,167,6
PSYCHOANALYTIC PSYCHOLOGY,closed,244,3,6,1,1,37,4
JOURNAL OF THE GEOLOGICAL SOCIETY,closed,363,11,21,9,0,78,12
EAST ASIAN JOURNAL ON APPLIED MATHEMATICS,closed,200,0,0,0,0,1,0
ARCHIV FUR REFORMATIONSGESCHICHTE-ARCHIVE FOR REFORMATION HISTORY,closed,18,0,0,0,0,0,0
BRITISH JOURNAL OF POLITICS & INTERNATIONAL RELATIONS,closed,189,38,28,14,8,150,3
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,closed,48,2,5,1,0,30,9
MIND CULTURE AND ACTIVITY,closed,145,9,3,1,5,40,1
CHEMICAL GEOLOGY,closed,2074,16,24,21,4,284,30
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,closed,148,9,9,7,4,60,3
ENERGY & FUELS,closed,6844,61,41,37,14,308,19
ANIMAL HEALTH RESEARCH REVIEWS,closed,84,4,5,3,2,36,1
OPTICS AND LASER TECHNOLOGY,closed,2644,2,7,2,1,130,3
POLYMER REVIEWS,closed,129,1,5,3,0,11,4
POLYMER SCIENCE SERIES C,closed,102,0,3,0,0,2,0
FIELD METHODS,closed,141,7,9,0,5,91,1
AUSTRALIAN JOURNAL OF MANAGEMENT,closed,165,2,5,6,7,77,0
EMERGING MARKETS REVIEW,closed,249,0,7,0,4,23,1
CELL STRUCTURE AND FUNCTION,closed,1,0,0,0,0,0,0
SOCIAL HISTORY,closed,97,3,10,1,1,35,5
CHEMICAL REVIEWS,closed,1222,102,127,48,19,699,131
SMART STRUCTURES AND SYSTEMS,closed,458,0,0,0,0,1,0
APPLIED PHYSICS REVIEWS,closed,123,3,64,6,0,102,5
NATURE ASTRONOMY,closed,45,32,33,34,0,45,10
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,closed,1061,0,5,0,0,53,2
COGNITION & EMOTION,closed,631,99,43,41,3,415,16
MOLECULAR GENETICS AND GENOMICS,closed,702,15,16,7,2,433,6
ECOLOGICAL APPLICATIONS,closed,761,58,108,64,29,517,16
COMMON KNOWLEDGE,closed,154,5,2,0,2,18,1
ACTA PHARMACOLOGICA SINICA,closed,165,1,6,6,0,80,1
REVIEW JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,closed,27,1,2,0,0,12,0
RESEARCH IN SPORTS MEDICINE,closed,234,6,59,8,0,144,4
LEUKEMIA,closed,629,14,45,100,14,476,7
MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,closed,2330,0,1,2,0,24,4
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,closed,741,19,26,13,10,317,2
HUMAN GENE THERAPY,closed,301,19,34,57,0,205,3
JOURNAL OF APPLIED SPECTROSCOPY,closed,1187,1,0,2,0,9,1
NATURE REVIEWS GENETICS,closed,251,94,197,88,17,251,50
ACTA LINGUISTICA HUNGARICA,closed,46,0,0,0,0,5,2
EARLY MODERN FRENCH STUDIES,closed,46,0,0,0,0,7,0
TRANSACTIONS OF THE INSTITUTIONS OF MINING AND METALLURGY SECTION C-MINERAL PROCESSING AND EXTRACTIVE METALLURGY,closed,121,0,0,1,0,1,0
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,closed,5109,147,102,39,4,1691,80
RENAISSANCE STUDIES,closed,209,3,5,2,0,66,2
APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,closed,11,0,0,0,0,0,0
Annual Review of Sociology,closed,153,25,24,22,14,127,13
HORIZONS,closed,88,2,1,3,0,13,1
JOURNAL OF THE HISTORY OF PHILOSOPHY,closed,119,5,5,0,0,17,0
JOURNAL OF NEPHROLOGY,closed,658,3,48,6,10,191,4
STATISTICAL METHODS IN MEDICAL RESEARCH,closed,504,5,11,3,4,268,6
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,closed,2176,1,5,3,0,21,1
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION,closed,1710,4,28,5,0,146,7
LEUKEMIA RESEARCH,closed,1178,8,68,17,20,447,11
DEVELOPMENTAL CELL,closed,307,58,123,86,0,302,9
JOURNAL OF NEUROPSYCHOLOGY,closed,113,6,13,13,0,102,0
ACTA CARDIOLOGICA,closed,504,0,2,1,3,23,0
DIGESTIVE AND LIVER DISEASE,closed,1090,16,118,15,29,365,9
CLINICAL OBSTETRICS AND GYNECOLOGY,closed,444,6,212,10,10,384,18
FEW-BODY SYSTEMS,closed,647,1,2,0,0,12,0
ENVIRONMENTAL MODELING & ASSESSMENT,closed,287,1,6,0,3,13,1
JOURNAL OF TURBOMACHINERY-TRANSACTIONS OF THE ASME,closed,934,0,3,0,0,30,0
IRISH JOURNAL OF PSYCHOLOGICAL MEDICINE,closed,29,0,1,0,2,1,0
PSYCHOLOGISCHE RUNDSCHAU,closed,87,3,1,4,1,15,0
JOURNAL OF CLINICAL LABORATORY ANALYSIS,closed,818,5,19,4,4,152,5
JOURNAL DE GYNECOLOGIE OBSTETRIQUE ET BIOLOGIE DE LA REPRODUCTION,closed,647,3,21,9,1,168,5
OPTIK,closed,9570,4,15,3,0,64,8
ACTA POLITICA,closed,128,8,6,3,2,51,1
CELL ADHESION & MIGRATION,closed,22,0,1,0,0,10,0
CORNELL HOSPITALITY QUARTERLY,closed,198,9,6,10,3,89,1
ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY,closed,1256,14,7,3,5,44,2
ENDOSCOPY,closed,777,6,325,18,51,285,0
BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,closed,1656,23,86,49,5,585,25
BREAST CANCER RESEARCH AND TREATMENT,closed,1949,32,151,91,44,863,22
CHEMICAL PAPERS,closed,1356,2,7,0,0,11,0
POLITICS AND RELIGION,closed,172,21,14,15,0,95,2
DERMATOLOGY,closed,421,4,24,7,7,209,3
PSYCHIATRIC CLINICS OF NORTH AMERICA,closed,289,19,16,19,14,118,14
MIDDLE EAST POLICY,closed,237,7,8,6,3,86,6
CONTACT LENS & ANTERIOR EYE,closed,407,1,66,6,1,158,1
ACS NANO,closed,6796,841,421,794,13,3461,139
NATURE REVIEWS ENDOCRINOLOGY,closed,287,34,185,88,10,286,24
BEHAVIORAL ECOLOGY,closed,221,25,54,25,0,198,7
RUSSIAN JOURNAL OF MARINE BIOLOGY,closed,478,1,2,1,0,8,4
CLASSICAL RECEPTIONS JOURNAL,closed,118,3,13,0,0,32,0
JOURNAL OF TRAVEL RESEARCH,closed,371,12,20,15,9,122,5
WORLD JOURNAL OF PEDIATRICS,closed,452,5,21,3,8,131,3
PLANT GROWTH REGULATION,closed,739,7,20,3,1,20,2
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,closed,493,31,233,78,12,385,4
GREEN MATERIALS,closed,85,0,2,2,0,9,0
INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,closed,102,0,1,0,0,5,0
MEDICAL LAW REVIEW,closed,108,8,28,4,1,73,1
JOURNAL OF THE LEARNING SCIENCES,closed,109,8,23,4,4,84,1
EUROPEAN JOURNAL OF WILDLIFE RESEARCH,closed,514,13,99,22,12,260,8
AMERICAN ART,closed,126,0,11,1,0,27,6
Annual Review of Biophysics,closed,102,6,2,4,0,53,11
LEISURE STUDIES,closed,245,3,18,14,2,167,1
OPTO-ELECTRONICS REVIEW,closed,95,0,0,0,0,3,0
ACTION RESEARCH,closed,139,0,10,2,1,82,0
FUTURES,closed,481,21,30,20,36,189,14
MEDICAL DECISION MAKING,closed,372,27,86,18,37,269,4
SOCIAL SCIENCE JAPAN JOURNAL,closed,57,13,2,0,2,18,1
AQUATIC BIOLOGY,closed,13,1,0,0,0,1,0
HUMAN MOVEMENT SCIENCE,closed,818,15,96,12,0,425,2
COOPERATION AND CONFLICT,closed,149,7,14,6,2,79,7
HEART SURGERY FORUM,closed,483,0,1,0,2,13,1
ACTA HAEMATOLOGICA,closed,485,0,7,3,5,121,3
TOPOLOGY AND ITS APPLICATIONS,closed,1028,0,1,0,0,14,0
INTERNATIONAL JOURNAL OF PRIMATOLOGY,closed,353,24,55,18,1,175,18
SEMIOTICA,closed,600,2,2,0,0,24,2
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,closed,1243,215,754,235,107,1109,53
QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS,closed,63,0,0,0,0,1,0
JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS,closed,7,0,0,0,0,0,0
GIORNALE ITALIANO DI DERMATOLOGIA E VENEREOLOGIA,closed,31,0,0,0,0,6,0
CRITICAL REVIEWS IN THERAPEUTIC DRUG CARRIER SYSTEMS,closed,88,0,3,1,0,5,1
JOURNAL OF HISTORICAL PRAGMATICS,closed,67,0,0,0,0,0,0
TRENDS IN CELL BIOLOGY,closed,291,13,64,11,0,278,19
RURAL SOCIOLOGY,closed,135,18,10,8,5,63,5
SURGICAL AND RADIOLOGIC ANATOMY,closed,1067,4,44,3,0,124,13
JOURNAL OF PARENTERAL AND ENTERAL NUTRITION,closed,687,16,354,31,19,613,8
BRITISH JOURNAL OF NEUROSURGERY,closed,1047,5,29,3,4,291,4
HEPATOLOGY,closed,650,38,155,75,34,469,12
CEMENT AND CONCRETE RESEARCH,closed,1047,6,7,7,8,35,3
ARCHIVE FOR THE PSYCHOLOGY OF RELIGION-ARCHIV FUR RELIGIONSPSYCHOLOGIE,closed,103,1,7,1,0,12,1
PORTUGUESE ECONOMIC JOURNAL,closed,2,0,0,0,0,1,0
VOIX & IMAGES,closed,27,0,0,0,0,1,0
JOURNAL OF SOUTHERN HEMISPHERE EARTH SYSTEMS SCIENCE,closed,6,0,0,0,0,0,0
COMPUTATIONAL AND THEORETICAL CHEMISTRY,closed,2276,19,10,3,2,66,15
MOLECULAR NUTRITION & FOOD RESEARCH,closed,1264,117,317,182,12,706,17
ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY,closed,426,14,93,6,0,162,20
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,closed,608,18,281,14,1,411,7
EUROPEAN JOURNAL OF PSYCHOLOGICAL ASSESSMENT,closed,232,1,4,4,2,34,4
AMERICAN JOURNAL OF MATHEMATICS,closed,81,1,0,0,0,0,1
INTERNATIONAL JOURNAL OF AEROSPACE PSYCHOLOGY,closed,12,2,0,1,0,3,0
ORGANIZATION STUDIES,closed,280,16,16,14,5,208,7
JOURNAL OF ETHNOPHARMACOLOGY,closed,3985,66,397,110,26,1300,82
IEEE INTERNET COMPUTING,closed,287,1,9,0,3,86,10
AMERICAN JOURNAL OF MEDICINE,closed,1013,130,241,153,41,867,55
PAEDIATRICS & CHILD HEALTH,closed,49,6,6,2,0,26,0
JOURNAL OF ANATOMY,closed,250,16,51,15,0,171,18
JOURNAL OF APPLIED PHILOSOPHY,closed,172,10,39,9,1,140,4
JOURNAL OF STRATEGIC STUDIES,closed,230,28,36,33,7,154,9
CARDIOVASCULAR TOXICOLOGY,closed,291,5,13,7,2,68,1
EUROPEAN JOURNAL OF IMMUNOLOGY,closed,483,10,57,27,2,278,4
JOURNAL OF RURAL HEALTH,closed,250,3,34,11,11,168,0
ATHEROSCLEROSIS,closed,2288,55,163,65,27,985,26
CLINICAL MICROBIOLOGY AND INFECTION,closed,394,18,193,17,10,357,7
JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,closed,60,0,0,0,0,1,0
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,closed,238,20,3,0,1,23,2
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,closed,238,3,6,0,0,82,6
SOCIAL WORK IN HEALTH CARE,closed,346,55,17,5,8,109,2
PERCEPTUAL AND MOTOR SKILLS,closed,806,16,170,15,1,238,10
APPLIED MATHEMATICS-A JOURNAL OF CHINESE UNIVERSITIES SERIES B,closed,262,0,0,0,0,0,0
CARDIOVASCULAR PATHOLOGY,closed,407,0,14,3,1,202,4
NEUROMUSCULAR DISORDERS,closed,734,3,65,8,3,298,11
SILVA FENNICA,closed,7,0,0,0,0,0,0
ACTA VIROLOGICA,closed,28,0,0,1,0,6,0
INTERNATIONAL OPHTHALMOLOGY,closed,633,0,16,7,2,185,4
JOURNAL OF PHILOSOPHY,closed,145,0,2,0,1,5,3
BETON- UND STAHLBETONBAU,closed,544,0,1,0,0,3,2
OPHTHALMOLOGY,closed,1447,50,198,154,98,836,26
TSINGHUA SCIENCE AND TECHNOLOGY,closed,69,0,0,0,0,20,0
AMERICAN JOURNAL OF LEGAL HISTORY,closed,51,0,0,0,1,1,0
JOURNAL OF DEAF STUDIES AND DEAF EDUCATION,closed,25,14,3,0,0,16,0
PLANT GENETIC RESOURCES-CHARACTERIZATION AND UTILIZATION,closed,332,14,11,0,0,27,1
JOURNAL OF BIONIC ENGINEERING,closed,442,3,4,6,1,21,11
BRITISH JOURNAL OF NUTRITION,closed,267,20,84,15,1,159,1
ORVOSI HETILAP,closed,490,0,4,1,0,58,2
FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,closed,1615,6,24,9,3,166,10
OREGON HISTORICAL QUARTERLY,closed,148,0,3,1,0,4,6
JOURNAL OF ADVERTISING,closed,207,6,11,17,6,72,10
PHYSICS IN PERSPECTIVE,closed,74,3,1,4,0,38,13
BIOLOGICAL PSYCHOLOGY,closed,830,51,77,42,6,584,11
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,closed,1088,24,95,14,5,417,28
VISUAL COMMUNICATION,closed,130,2,4,2,0,66,1
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,closed,3397,69,152,87,16,922,54
TREE-RING RESEARCH,closed,59,0,1,0,0,23,1
DIX-SEPTIEME SIECLE,closed,52,0,0,0,0,1,0
REVIEWS IN MATHEMATICAL PHYSICS,closed,44,0,2,0,0,3,0
PHOTOSYNTHESIS RESEARCH,closed,623,10,20,11,1,116,18
GPS SOLUTIONS,closed,466,0,4,1,0,19,1
GROUP DECISION AND NEGOTIATION,closed,262,0,5,1,0,38,3
JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY,closed,288,109,174,82,42,266,14
PROTOPLASMA,closed,804,15,15,3,1,290,10
INTERNATIONAL JOURNAL OF MASS SPECTROMETRY,closed,1193,9,69,7,0,438,15
JOURNAL OF THE OPTICAL SOCIETY OF KOREA,closed,23,0,0,0,0,0,0
HUMAN STUDIES,closed,171,2,21,2,0,64,2
SPORTVERLETZUNG-SPORTSCHADEN,closed,133,1,23,4,0,38,2
CLINICAL AND EXPERIMENTAL ALLERGY,closed,704,25,268,37,40,636,15
LEUKEMIA & LYMPHOMA,closed,1778,6,66,20,85,640,14
GERMAN LIFE AND LETTERS,closed,184,1,5,1,0,24,1
KIDNEY INTERNATIONAL,closed,789,56,131,119,7,526,11
Progress in Molecular Biology and Translational Science,closed,531,6,39,12,1,208,6
AUSTRALIAN FEMINIST STUDIES,closed,185,11,12,6,7,112,9
INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,closed,354,0,2,1,0,4,1
LUTS-LOWER URINARY TRACT SYMPTOMS,closed,215,0,3,4,1,16,1
BIOMEDICAL CHROMATOGRAPHY,closed,1680,8,26,114,2,626,8
NEUROSURGERY,closed,1467,25,143,71,10,571,16
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,closed,407,1,14,4,13,117,6
ISLAM-ZEITSCHRIFT FUR GESCHICHTE UND KULTUR DES ISLAMISCHEN ORIENTS,closed,84,0,0,1,0,16,0
JOURNAL OF CHINESE LINGUISTICS,closed,51,0,0,0,0,3,1
GEOCHEMICAL PERSPECTIVES,closed,1,0,0,0,0,0,0
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,closed,288,13,41,28,15,253,8
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,closed,315,4,28,9,4,131,3
RELIGION AND AMERICAN CULTURE-A JOURNAL OF INTERPRETATION,closed,50,0,3,3,0,12,3
JOURNAL OF OCEAN UNIVERSITY OF CHINA,closed,867,6,10,0,0,22,6
JOURNAL OF COMPOSITE MATERIALS,closed,1967,0,5,5,0,36,4
SPORT EDUCATION AND SOCIETY,closed,267,5,14,11,4,134,1
SPACE SCIENCE REVIEWS,closed,314,11,4,13,2,65,11
JOURNAL OF HUMAN LACTATION,closed,455,31,266,43,26,387,7
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,closed,52,0,30,2,4,38,0
JOURNAL OF GRAPH THEORY,closed,326,0,3,0,0,8,1
AUSTRALIAN LIBRARY JOURNAL,closed,63,3,12,0,3,39,1
FIBRE CHEMISTRY,closed,622,0,1,0,0,0,0
INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,closed,1029,0,5,2,0,30,2
WILEY INTERDISCIPLINARY REVIEWS-NANOMEDICINE AND NANOBIOTECHNOLOGY,closed,209,10,50,30,3,85,2
BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,closed,6654,66,142,69,12,1153,67
BULLETIN OF THE COUNCIL FOR RESEARCH IN MUSIC EDUCATION,closed,48,0,3,0,0,4,0
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,closed,183,0,0,0,0,2,0
TECHNOLOGICAL AND ECONOMIC DEVELOPMENT OF ECONOMY,closed,13,0,0,0,0,0,0
PROTEIN ENGINEERING DESIGN & SELECTION,closed,49,0,0,0,0,25,0
INNOVATIVE FOOD SCIENCE & EMERGING TECHNOLOGIES,closed,1082,5,13,12,2,74,2
NEAR SURFACE GEOPHYSICS,closed,233,0,1,0,0,7,0
REPRODUCTIVE TOXICOLOGY,closed,775,22,53,25,41,228,13
CHINESE JOURNAL OF NATURAL MEDICINES,closed,537,1,5,1,0,121,3
PHYSICA B-CONDENSED MATTER,closed,4255,4,16,1,0,65,3
JOURNAL OF PHYSICS-CONDENSED MATTER,closed,3941,25,95,21,0,658,15
PALAEOWORLD,closed,230,1,9,6,0,90,59
BOLETIM DO INSTITUTO DE PESCA,closed,136,0,0,0,0,0,0
PHYSIOLOGY INTERNATIONAL,closed,31,0,0,0,0,7,1
PHARMACOLOGICAL REPORTS,closed,1108,11,39,18,3,282,10
ANNUAL REPORTS IN MEDICINAL CHEMISTRY,closed,104,1,2,0,0,4,6
PIGMENT CELL & MELANOMA RESEARCH,closed,224,2,76,5,2,107,0
TOXICOLOGY LETTERS,closed,1761,17,79,40,54,504,18
SOCIAL PROBLEMS,closed,146,36,41,22,5,81,8
CURRENT NEUROVASCULAR RESEARCH,closed,248,4,10,5,0,26,0
AEQUATIONES MATHEMATICAE,closed,265,0,1,0,0,0,0
EXPERIMENTAL DERMATOLOGY,closed,780,39,52,14,2,430,9
REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,closed,1,0,0,0,0,0,0
JOURNAL OF ECONOMIC POLICY REFORM,closed,119,2,4,1,2,35,0
BRITISH JOURNAL OF PSYCHOLOGY,closed,188,47,27,25,2,164,3
JOURNAL OF ASIAN AND AFRICAN STUDIES,closed,293,7,25,7,1,93,8
AGRONOMY FOR SUSTAINABLE DEVELOPMENT,closed,47,36,2,1,1,36,0
PHYSIOTHERAPY THEORY AND PRACTICE,closed,331,4,79,2,4,208,1
RECORDS OF THE AUSTRALIAN MUSEUM,closed,1,0,0,0,0,0,0
SOPHIA,closed,223,0,10,2,0,28,2
JOURNAL OF THE HISTORY OF SEXUALITY,closed,102,0,1,0,0,2,0
TRANSGENIC RESEARCH,closed,436,18,23,5,12,169,10
TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,closed,2,0,0,0,0,0,0
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,closed,1290,0,65,3,1,20,1
SCIENCE CHINA-MATHEMATICS,closed,846,0,1,0,0,4,0
BIOANALYSIS,closed,1139,128,33,15,3,315,9
ADVANCES IN PSYCHOSOMATIC MEDICINE,closed,9,0,0,0,0,2,1
NEW ENGLAND QUARTERLY-A HISTORICAL REVIEW OF NEW ENGLAND LIFE AND LETTERS,closed,126,0,11,2,0,18,7
LITERACY,closed,111,7,2,7,0,61,0
INDEX ON CENSORSHIP,closed,439,6,16,12,2,282,4
WATER ENVIRONMENT RESEARCH,closed,941,2,20,10,0,523,0
AXIOMATHES,closed,183,0,1,0,0,31,3
JOURNAL OF EVIDENCE-BASED DENTAL PRACTICE,closed,131,1,13,1,1,66,0
ADVANCED ELECTRONIC MATERIALS,closed,615,9,2,37,0,51,3
ENDOCRINOLOGIA DIABETES Y NUTRICION,closed,126,0,8,1,0,41,0
EPISTEME-A JOURNAL OF INDIVIDUAL AND SOCIAL EPISTEMOLOGY,closed,129,1,4,2,0,15,1
ACADEMY OF MANAGEMENT PERSPECTIVES,closed,138,9,20,17,4,55,6
SOCIOLOGIA RURALIS,closed,153,4,5,2,6,81,1
SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,closed,256,0,11,3,3,73,4
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,closed,2720,2,21,5,5,127,6
CRISIS-THE JOURNAL OF CRISIS INTERVENTION AND SUICIDE PREVENTION,closed,284,21,32,20,29,155,8
JOURNAL OF FOOD QUALITY,closed,85,0,1,4,0,8,1
PATTERN RECOGNITION,closed,1927,5,19,5,2,149,17
CHILDHOOD OBESITY,closed,236,14,43,20,6,139,2
ALGEBRAIC AND GEOMETRIC TOPOLOGY,closed,48,0,0,0,0,7,0
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMIC AND ENVIRONMENTAL PHYSIOLOGY,closed,4,0,0,0,0,2,0
REGULAR & CHAOTIC DYNAMICS,closed,245,0,1,0,0,5,0
RACE ETHNICITY AND EDUCATION,closed,272,6,31,17,12,116,7
MARINE GENOMICS,closed,419,19,11,2,0,223,8
INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,closed,228,0,2,0,0,9,0
JOURNAL OF THE IRANIAN CHEMICAL SOCIETY,closed,1440,0,1,2,0,9,0
JOURNAL OF GUIDANCE CONTROL AND DYNAMICS,closed,1359,2,12,4,2,23,1
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,closed,622,126,138,92,67,494,10
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,closed,53,0,0,1,0,38,1
AMERICAN JOURNAL OF SCIENCE,closed,186,3,3,6,0,26,10
PSYCHOLOGIE IN ERZIEHUNG UND UNTERRICHT,closed,121,0,0,0,0,0,0
NORSK GEOGRAFISK TIDSSKRIFT-NORWEGIAN JOURNAL OF GEOGRAPHY,closed,153,0,1,0,0,29,7
ARCHIVES OF NATURAL HISTORY,closed,193,5,5,6,1,48,24
JOURNAL OF HUMAN GENETICS,closed,561,15,52,177,0,347,22
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,closed,62,0,1,0,0,7,0
JOURNAL OF FIRE SCIENCES,closed,198,0,1,0,3,12,1
GISCIENCE & REMOTE SENSING,closed,278,2,5,2,1,34,1
MILITARY OPERATIONS RESEARCH,closed,35,0,0,0,0,1,1
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL BEHAVIOR PROCESSES,closed,5,0,0,0,0,3,0
MODERN THEOLOGY,closed,233,0,7,0,0,43,2
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,closed,294,3,27,5,0,86,11
ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,closed,126,1,0,0,0,1,0
