journal,items,total,blogs,facebook,news,policies,twitter,wikipedia
GREEN CHEMISTRY,3765,930,96,223,177,8,660,28
COMPUTER STANDARDS & INTERFACES,501,73,0,6,2,1,66,1
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1046,27,0,2,0,0,27,0
MANAGEMENT INTERNATIONAL REVIEW,227,37,3,4,3,1,33,3
FOOD SCIENCE AND TECHNOLOGY RESEARCH,830,20,1,5,1,0,12,3
INFORMS JOURNAL ON COMPUTING,364,66,1,11,0,0,62,2
JSLS-JOURNAL OF THE SOCIETY OF LAPAROENDOSCOPIC SURGEONS,624,119,2,20,3,4,105,5
REDIA-GIORNALE DI ZOOLOGIA,82,1,0,0,1,0,0,0
JOURNAL OF HYDRAULIC RESEARCH,451,31,2,2,0,1,28,1
ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,328,170,22,18,8,4,152,5
EUROPEAN JOURNAL OF INTERNAL MEDICINE,1058,625,26,153,32,32,591,11
INTERNATIONAL JOURNAL OF ASTROBIOLOGY,281,201,59,56,46,2,181,43
PERSONALITY AND INDIVIDUAL DIFFERENCES,3710,2534,350,389,420,17,2406,102
JOURNAL OF HAPPINESS STUDIES,665,400,68,83,78,23,352,22
STUDIES IN AMERICAN JEWISH LITERATURE,34,1,0,0,0,0,1,0
MODERNISM-MODERNITY,177,42,0,7,1,0,38,3
NEW YORK HISTORY,80,1,0,0,0,0,1,0
INTERNATIONAL JOURNAL OF HYPERTENSION,55,11,0,1,2,0,9,0
ECS ELECTROCHEMISTRY LETTERS,380,16,4,2,1,0,7,3
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,520,103,8,18,2,3,88,2
HEYTHROP JOURNAL,391,67,1,22,2,0,55,4
ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,78,6,0,0,0,1,5,0
POLITICS AND GOVERNANCE,31,30,0,1,1,0,30,0
DICKENS QUARTERLY,54,3,0,0,0,0,3,0
Annual Review of Economics,168,125,23,15,21,56,95,8
ARCHEOSCIENCES-REVUE D ARCHEOMETRIE,79,5,0,0,2,0,2,1
BUDDHIST STUDIES REVIEW,80,6,0,0,0,0,6,1
EUROPEAN JOURNAL OF POLITICAL RESEARCH,297,256,66,42,23,9,246,6
LANGUAGE TEACHING RESEARCH,206,134,0,18,1,0,132,0
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,850,803,296,197,311,14,789,37
REVIEW OF SYMBOLIC LOGIC,228,59,8,9,0,0,52,3
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,218,163,7,11,8,32,150,2
BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND,55,0,0,0,0,0,0,0
GRAVITATION & COSMOLOGY,344,130,10,18,2,0,119,3
FIBER AND INTEGRATED OPTICS,164,6,0,0,0,0,5,1
FISH PHYSIOLOGY AND BIOCHEMISTRY,1004,307,2,28,1,0,289,5
JOURNAL OF VALUE INQUIRY,240,123,5,87,2,0,120,2
GEMATOLOGIYA I TRANSFUZIOLOGIYA,96,0,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF ATHLETIC THERAPY & TRAINING,93,2,0,0,0,0,1,1
PHYTOPATHOLOGIA MEDITERRANEA,120,11,0,4,3,0,7,1
MOLECULAR AND CELLULAR NEUROSCIENCE,676,350,19,41,42,1,318,11
REPRODUCTION IN DOMESTIC ANIMALS,1519,471,12,33,8,3,447,8
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,202,190,47,32,15,6,184,8
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,1432,789,69,64,12,2,769,8
COMPUTERS AND CONCRETE,570,2,0,0,0,0,2,1
JOURNAL OF HOLY LAND AND PALESTINE STUDIES,41,10,0,4,0,0,8,0
AMERICAN JOURNAL ON ADDICTIONS,587,374,90,55,41,27,327,12
CLINICS AND RESEARCH IN HEPATOLOGY AND GASTROENTEROLOGY,695,191,10,21,3,11,169,2
NATIONAL ACADEMY SCIENCE LETTERS-INDIA,608,13,2,3,0,0,8,2
COMPUTER NETWORKS,1991,152,3,16,2,0,129,9
MAPAN-JOURNAL OF METROLOGY SOCIETY OF INDIA,268,3,0,0,0,0,3,0
JOURNAL OF GEOGRAPHICAL SYSTEMS,131,24,0,2,1,3,19,0
REPRODUCTION,1101,848,22,338,24,7,794,23
ENDOCRINE JOURNAL,800,160,5,25,7,3,136,4
JOURNAL OF INTELLECTUAL CAPITAL,55,7,2,0,1,0,6,0
MANAGEMENT DECISION,805,265,3,14,8,4,248,3
BIOCHEMICAL PHARMACOLOGY,2202,857,66,134,57,14,750,61
QUEEN MARY JOURNAL OF INTELLECTUAL PROPERTY,124,19,1,3,0,2,13,0
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES-REVUE CANADIENNE DES SCIENCES DE L ADMINISTRATION,195,161,3,3,0,1,160,2
FOOD AND ENERGY SECURITY,70,55,20,9,3,5,52,1
JOURNAL OF CREATIVE BEHAVIOR,153,64,9,6,9,2,59,2
MEDICAL ENGINEERING & PHYSICS,1294,282,5,32,5,6,261,4
JOURNAL OF SPACE WEATHER AND SPACE CLIMATE,262,100,32,11,9,0,91,5
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,274,205,6,19,7,4,198,1
RADIOLOGIA MEDICA,797,150,4,17,8,14,123,0
NINETEENTH CENTURY MUSIC,82,10,0,0,0,0,8,2
JOURNAL OF MACROMOLECULAR SCIENCE PART A-PURE AND APPLIED CHEMISTRY,849,12,0,4,0,0,9,0
VIVARIUM-AN INTERNATIONAL JOURNAL FOR THE PHILOSOPHY AND INTELLECTUAL LIFE OF THE MIDDLE AGES AND RENAISSANCE,103,6,0,0,0,0,4,2
SOIL,136,20,1,1,0,8,10,3
LOGIQUE ET ANALYSE,115,2,0,0,0,0,2,0
HAND CLINICS,393,69,4,11,2,0,56,7
HIGH ENERGY DENSITY PHYSICS,382,38,1,5,1,0,33,1
HORMONES & CANCER,188,75,3,7,7,0,69,4
NEPHRON PHYSIOLOGY,26,7,1,0,0,0,7,1
BYZANTINISCHE ZEITSCHRIFT,124,6,0,1,0,0,2,3
REVISTA CHAPINGO SERIE CIENCIAS FORESTALES Y DEL AMBIENTE,209,12,0,2,0,0,9,1
BMC PREGNANCY AND CHILDBIRTH,2528,2040,287,603,181,75,1892,28
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,218,97,8,15,17,9,81,3
SECURITY STUDIES,183,147,40,16,41,5,143,7
ACTA PHARMACEUTICA,284,31,1,4,2,1,25,1
INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS,798,4,0,1,0,0,2,1
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,222,45,5,4,0,0,34,12
CHILD DEVELOPMENT,1089,984,200,492,279,74,954,28
SEXUALLY TRANSMITTED DISEASES,1004,737,25,149,49,69,679,10
THERAPEUTIC ADVANCES IN NEUROLOGICAL DISORDERS,256,187,23,39,25,7,170,13
JOURNALISM,471,384,93,32,63,9,358,16
LANGUAGE LEARNING,305,206,3,49,5,1,191,7
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,1381,67,4,7,6,3,50,0
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,123,38,0,1,0,0,36,2
BASIC RESEARCH IN CARDIOLOGY,442,170,11,17,8,0,157,7
JOURNAL OF THE TEXTILE INSTITUTE,1220,80,3,18,5,1,60,0
RELIGION,216,99,2,23,4,0,93,8
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,270,87,6,20,11,10,65,4
ENGINEERING STUDIES,99,30,3,9,1,2,28,0
CULTURE AND ORGANIZATION,167,60,2,1,8,0,57,2
EUROPEAN JOURNAL OF CONTROL,294,8,0,2,0,0,6,0
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,320,235,10,52,57,1,214,9
JOURNAL OF IBERIAN GEOLOGY,191,65,6,18,1,0,52,19
Advances in Biochemical Engineering-Biotechnology,355,123,5,6,3,1,113,7
INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,547,281,13,66,34,0,250,4
OUD HOLLAND,60,3,0,0,0,0,3,0
JOURNAL OF MEDICAL DEVICES-TRANSACTIONS OF THE ASME,788,91,3,9,6,1,84,0
JOURNAL OF FUNCTIONAL FOODS,2849,503,112,155,92,2,341,8
KNOWLEDGE ENGINEERING REVIEW,166,23,0,3,1,1,18,2
JOURNAL OF INCLUSION PHENOMENA AND MACROCYCLIC CHEMISTRY,851,16,1,6,0,0,13,1
GEOMECHANICS AND ENGINEERING,592,1,0,0,0,0,1,0
KOEDOE,123,85,6,57,2,2,66,3
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,3150,191,1,17,1,1,170,7
PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,296,149,35,23,26,3,125,11
JOURNAL OF BUILDING PERFORMANCE SIMULATION,238,27,0,1,0,5,21,1
JOURNAL OF EXTRACELLULAR VESICLES,41,41,2,5,2,0,41,2
CURRENT OPINION IN FOOD SCIENCE,180,41,8,2,2,0,34,0
PEDIATRIC NEPHROLOGY,1553,1038,32,582,20,30,1005,11
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,1640,256,6,33,18,0,227,3
ROCK MECHANICS AND ROCK ENGINEERING,1319,45,1,2,8,4,26,5
TULSA STUDIES IN WOMENS LITERATURE,24,12,0,10,0,0,12,0
CONCEPTS IN MAGNETIC RESONANCE PART B-MAGNETIC RESONANCE ENGINEERING,109,5,0,0,1,0,4,0
MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,157,48,3,13,6,7,44,0
PSYCHIATRY AND CLINICAL NEUROSCIENCES,513,356,12,122,24,7,321,13
REVIEW OF EUROPEAN COMPARATIVE & INTERNATIONAL ENVIRONMENTAL LAW,12,12,1,0,0,0,12,0
JOURNAL OF FLUIDS AND STRUCTURES,1182,106,2,7,4,0,101,0
BREASTFEEDING MEDICINE,637,482,25,255,74,10,447,12
YEARBOOK FOR TRADITIONAL MUSIC,13,0,0,0,0,0,0,0
SPORT MANAGEMENT REVIEW,302,227,4,35,10,2,223,5
CHILDRENS GEOGRAPHIES,279,138,4,13,11,9,126,2
NEMATOLOGY,597,175,2,10,5,2,162,7
HAEMOPHILIA,1210,379,11,47,31,37,307,3
NEURAL COMPUTATION,721,325,10,31,9,0,312,13
EARLY SCIENCE AND MEDICINE,147,26,1,4,1,0,20,2
MEAT SCIENCE,2112,465,43,63,39,15,397,18
EUROPEAN JOURNAL OF PHYCOLOGY,282,60,7,12,7,0,44,4
INTERNATIONAL JOURNAL OF HYPERTHERMIA,716,171,4,22,15,5,140,5
EUROPEAN JOURNAL OF POPULATION,28,20,0,4,1,0,19,0
RESULTS IN MATHEMATICS,763,33,0,1,0,0,33,0
ARTE INDIVIDUO Y SOCIEDAD,221,16,0,3,1,0,13,0
IRISH UNIVERSITY REVIEW,144,43,0,0,0,0,43,0
FOOD AND NUTRITION BULLETIN,417,193,18,25,11,22,170,4
PEDIATRIC DIABETES,796,398,10,78,31,6,372,3
JOURNAL OF VECTOR ECOLOGY,351,196,13,30,13,15,169,8
BIOTECHNOLOGY ADVANCES,811,514,37,72,27,15,470,36
EXPERIMENTAL PARASITOLOGY,1315,615,31,51,1,22,558,18
JOURNAL OF GYNECOLOGIC SURGERY,74,1,0,0,0,0,1,0
Annual Review of Environment and Resources,146,127,32,24,26,41,117,12
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,592,462,20,59,52,4,448,17
JOURNAL OF SMALL BUSINESS MANAGEMENT,352,226,2,22,12,14,215,2
HUMAN ECOLOGY,468,222,39,47,41,28,159,10
ETHIK IN DER MEDIZIN,140,17,0,3,3,0,15,0
CHELONIAN CONSERVATION AND BIOLOGY,201,79,4,25,12,1,67,5
ECONOMIC AND LABOUR RELATIONS REVIEW,215,126,5,12,18,35,104,2
COUNSELING PSYCHOLOGIST,333,182,6,31,5,3,163,7
JOURNAL OF WOMEN & AGING,204,96,31,21,8,2,74,3
RADIATION EFFECTS AND DEFECTS IN SOLIDS,727,23,2,1,0,0,20,2
JAPANESE JOURNAL OF RADIOLOGY,733,124,0,8,4,5,113,5
CANADIAN JOURNAL OF PUBLIC HEALTH-REVUE CANADIENNE DE SANTE PUBLIQUE,569,95,5,14,14,10,76,1
VETERINARY RESEARCH FORUM,41,6,0,0,0,0,6,0
JOURNAL OF HISTOTECHNOLOGY,127,41,0,10,1,1,37,1
CLINICAL SPINE SURGERY,184,129,1,71,24,0,118,0
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,552,263,3,194,0,0,253,0
BRITISH JOURNAL OF AESTHETICS,193,84,9,13,2,0,80,1
RANGELAND ECOLOGY & MANAGEMENT,539,231,10,85,11,10,194,11
ARCHITECTURAL THEORY REVIEW,127,32,2,3,0,0,25,5
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,595,433,55,90,85,48,393,12
FOLIA LINGUISTICA HISTORICA,40,1,0,0,0,0,1,0
STATISTICS AND ITS INTERFACE,224,11,0,0,0,1,10,0
JOURNAL OF FORENSIC NURSING,162,91,0,8,4,7,82,1
ZEITSCHRIFT FUR GESUNDHEITSPSYCHOLOGIE,79,8,0,1,2,1,5,0
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,1469,38,0,10,1,0,25,3
GLOBAL AND PLANETARY CHANGE,1087,544,244,185,59,30,463,29
INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,656,117,1,15,8,16,86,3
KONA POWDER AND PARTICLE JOURNAL,46,1,0,0,0,0,1,0
BMC BIOINFORMATICS,3856,3173,321,425,56,6,3134,138
IEEE ELECTRICAL INSULATION MAGAZINE,161,6,1,0,1,0,3,2
NORDIC PSYCHOLOGY,136,39,4,3,5,3,27,2
PATHOLOGY RESEARCH AND PRACTICE,1367,419,6,57,33,2,371,8
ADVANCES IN CATALYSIS,23,7,0,2,0,0,5,0
ORAL ONCOLOGY,1328,499,20,76,28,37,438,21
TRANSPORT REVIEWS,247,132,8,19,17,52,108,5
JOURNAL OF EAST EUROPEAN MANAGEMENT STUDIES,92,0,0,0,0,0,0,0
THEATER,114,23,13,6,0,0,8,0
CLINICAL & TRANSLATIONAL ONCOLOGY,1059,415,5,88,11,13,386,7
FETAL DIAGNOSIS AND THERAPY,596,157,6,29,10,5,132,7
INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,778,339,4,46,3,0,331,4
AIP ADVANCES,6766,1458,46,410,65,1,1386,23
MOLECULAR GENETICS AND METABOLISM,1144,567,39,106,28,10,503,41
WASTE MANAGEMENT,3020,640,36,63,50,62,525,18
DEVELOPMENT AND PSYCHOPATHOLOGY,775,532,46,87,60,41,496,24
BIOTECHNOLOGY LETTERS,1833,455,8,34,13,5,422,16
ANAESTHESIST,713,150,5,28,4,8,130,1
FINANZARCHIV,141,15,1,0,2,5,10,1
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,671,214,3,37,13,3,191,4
BEHAVIOURAL PROCESSES,1307,938,85,175,87,4,907,31
HEALTH & PLACE,953,679,156,126,74,89,604,22
TRAFFIC INJURY PREVENTION,1092,783,17,44,47,35,772,4
ETHNOMUSICOLOGY FORUM,115,39,4,10,0,0,26,5
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,1733,463,8,61,16,25,413,9
PHYTOTHERAPY RESEARCH,1729,828,56,283,200,7,686,29
EVOLUTION MEDICINE AND PUBLIC HEALTH,8,8,2,2,1,0,8,0
NEUROMOLECULAR MEDICINE,332,182,9,25,34,3,167,4
ACTA NEUROPATHOLOGICA,797,612,97,113,247,15,548,37
JOURNAL OF BIOMATERIALS AND TISSUE ENGINEERING,901,17,0,6,0,0,11,0
NORTHEASTERN NATURALIST,367,142,8,33,6,1,122,11
RANDOM MATRICES-THEORY AND APPLICATIONS,129,18,0,1,0,0,17,0
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,834,306,21,46,5,2,279,12
NUTRITION & DIETETICS,367,269,8,207,24,11,242,2
CYTA-JOURNAL OF FOOD,550,64,2,21,6,1,46,5
OPERATIONS MANAGEMENT RESEARCH,67,11,1,4,2,1,5,0
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,1295,17,0,2,2,0,10,3
MIND & LANGUAGE,187,91,7,35,2,0,72,3
SOUTH AFRICAN JOURNAL OF ECONOMICS,225,68,1,29,2,4,54,1
CELL,2993,2974,1489,2018,1683,62,2952,564
FUNGAL BIOLOGY,731,364,37,45,10,0,328,41
EPIDEMIOLOGY AND INFECTION,2276,1205,60,167,77,182,1053,14
ANTIPODE,513,381,57,94,20,7,350,21
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2214,550,36,43,51,8,493,24
SOCIAL POLITICS,171,117,33,26,12,12,100,12
FACIES,259,51,4,20,0,0,34,7
ISLAMIC LAW AND SOCIETY,19,7,1,0,0,0,7,1
JOURNAL OF MICRO-NANOLITHOGRAPHY MEMS AND MOEMS,702,63,2,18,13,0,50,4
LOGICAL METHODS IN COMPUTER SCIENCE,584,380,6,28,0,0,377,1
HIGH ALTITUDE MEDICINE & BIOLOGY,342,206,10,25,16,0,197,4
LARYNGO-RHINO-OTOLOGIE,500,48,0,5,3,1,41,0
INFORMATION SYSTEMS,530,120,3,10,1,2,109,5
EUROPEAN JOURNAL OF GENERAL PRACTICE,254,228,3,24,3,8,225,0
KANTIAN REVIEW,143,28,0,0,0,0,27,1
EAST EUROPEAN JEWISH AFFAIRS,107,28,0,2,3,0,20,3
APPLIED ENTOMOLOGY AND ZOOLOGY,492,71,2,15,0,0,60,4
REVISTA CHILENA DE CIRUGIA,94,5,0,1,0,0,4,0
AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY,127,11,0,0,0,0,9,2
JOURNAL OF HEALTHCARE MANAGEMENT,66,29,0,4,2,0,28,1
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,1107,58,1,8,3,2,43,7
ANNALS OF ONCOLOGY,2683,2223,152,452,445,238,2114,62
ARCHIVES OF GERONTOLOGY AND GERIATRICS,1295,543,23,87,57,42,466,6
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,52,11,3,0,0,0,10,0
EXPERT OPINION ON BIOLOGICAL THERAPY,983,794,17,64,29,16,778,27
COR ET VASA,199,12,0,2,2,0,6,3
HEMOGLOBIN,598,104,1,15,2,2,83,2
RADIOPHYSICS AND QUANTUM ELECTRONICS,599,6,1,0,0,0,5,0
INTERNATIONAL ECONOMIC REVIEW,382,108,15,5,13,27,72,3
JOURNAL OF MINING SCIENCE,920,6,0,0,0,0,5,1
PHYTOPATHOLOGY,1048,611,26,88,17,10,577,23
WESTERN JOURNAL OF NURSING RESEARCH,529,387,7,284,13,17,237,3
MIGRATION STUDIES,82,65,36,19,5,7,59,0
JOURNAL OF AGING STUDIES,334,176,16,27,20,15,153,2
EXPERIMENTAL AND THERAPEUTIC MEDICINE,6465,1314,26,115,70,15,1178,21
CLINICAL & TRANSLATIONAL IMMUNOLOGY,2,2,0,1,1,0,2,0
METHODS,1591,842,73,80,17,1,773,52
IET BIOMETRICS,253,48,3,4,4,2,44,2
COMBUSTION THEORY AND MODELLING,309,13,2,2,2,0,11,0
INTERNATIONAL JOURNAL OF NEUROPSYCHOPHARMACOLOGY,1025,765,52,191,57,17,719,45
LANGUAGE POLICY,139,108,2,86,4,3,104,3
PATHOLOGE,574,94,6,8,0,1,82,0
HASTINGS CENTER REPORT,409,283,84,59,102,14,252,9
CONSERVATION PHYSIOLOGY,367,282,45,67,32,8,264,9
STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,212,57,3,7,1,8,48,1
LEUKOS,106,23,1,6,2,1,19,2
PLANT PHYSIOLOGY AND BIOCHEMISTRY,2226,947,8,86,9,2,889,18
APPLIED MAGNETIC RESONANCE,733,63,1,5,4,0,57,1
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,230,63,3,2,1,3,58,1
QUARTERLY JOURNAL OF POLITICAL SCIENCE,106,61,15,1,10,5,46,8
BMC OPHTHALMOLOGY,1321,619,17,84,30,3,577,10
PEDIATRIC EXERCISE SCIENCE,413,147,5,32,14,5,135,1
DREAMING,159,81,16,21,20,1,62,6
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,124,8,0,1,2,0,7,0
STUDIES IN MYCOLOGY,100,74,7,11,4,1,57,32
JOURNAL OF ELECTROCERAMICS,471,7,1,0,1,0,5,0
JOURNAL OF BEHAVIORAL EDUCATION,76,27,15,4,0,0,17,1
ACTA MECHANICA,1641,28,1,5,0,0,21,3
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,79,17,2,4,1,0,14,0
MICROBIOLOGY AND IMMUNOLOGY,624,238,12,34,29,7,203,11
RESEARCH ON SOCIAL WORK PRACTICE,496,257,8,32,8,36,229,7
MEDICAL CLINICS OF NORTH AMERICA,522,272,16,51,25,5,222,36
JOURNAL OF VACATION MARKETING,99,29,1,1,0,0,27,0
EDUCATIONAL PSYCHOLOGIST,133,102,9,59,11,4,97,5
NORDIC JOURNAL OF BOTANY,762,602,47,572,10,0,470,15
AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,174,126,9,81,4,0,115,2
PROGRAMMING AND COMPUTER SOFTWARE,299,9,0,0,1,0,8,0
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH,480,157,1,50,2,0,138,6
ESSAYS IN CRITICISM,126,21,1,1,0,0,18,2
ASSAY AND DRUG DEVELOPMENT TECHNOLOGIES,312,122,10,13,14,1,114,5
APPLIED NURSING RESEARCH,636,210,7,34,13,8,188,1
TEMPO,125,33,0,6,0,0,27,2
CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,266,170,7,15,8,3,163,2
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,377,341,74,60,35,19,333,8
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,1740,1154,68,247,99,83,1063,40
THIN-WALLED STRUCTURES,2130,58,0,10,1,11,39,2
AFRICAN JOURNAL OF HERPETOLOGY,80,41,7,21,3,0,22,8
JOURNAL OF PALEONTOLOGY,567,403,45,50,30,0,234,309
MATERIALS TODAY,324,193,30,49,115,3,116,14
DEVIANT BEHAVIOR,524,404,63,27,27,11,389,16
ACTA PHILOSOPHICA,25,0,0,0,0,0,0,0
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,521,2,0,0,0,0,2,0
FUNDAMENTA MATHEMATICAE,395,34,0,2,0,0,34,0
COLORATION TECHNOLOGY,405,37,1,15,3,0,30,1
SOUTH AFRICAN JOURNAL OF SURGERY,166,3,0,0,0,0,2,1
IEEE-ASME TRANSACTIONS ON MECHATRONICS,1635,68,8,7,13,0,49,7
CLINICAL RESPIRATORY JOURNAL,809,323,6,51,10,14,300,8
INTERNATIONAL JOURNAL OF DENTAL HYGIENE,350,241,21,45,8,18,221,10
POST-COMMUNIST ECONOMIES,226,116,3,8,1,7,109,3
ACM TRANSACTIONS ON SENSOR NETWORKS,314,21,0,2,0,0,19,1
HERPETOLOGICA,214,111,18,53,17,4,86,11
MAGNETOHYDRODYNAMICS,295,2,0,1,0,0,1,1
AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,834,714,8,59,18,16,709,5
LABORATORY ANIMALS,358,87,4,14,6,1,73,5
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,1562,1160,3,12,2,0,1157,4
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,3099,76,3,19,1,3,48,4
JOURNAL OF HEMATOPATHOLOGY,140,15,0,1,0,1,14,1
ENTROPY,3263,1536,46,141,40,2,1500,46
LUSO-BRAZILIAN REVIEW,109,19,0,15,0,0,4,2
MOLECULAR OMICS,33,32,2,0,1,0,32,1
DERMATOLOGIC CLINICS,391,163,12,32,20,4,128,17
PITUITARY,564,158,4,33,6,4,126,9
HEPATO-GASTROENTEROLOGY,1548,53,1,9,1,2,44,1
JOURNAL OF THE JAPAN INSTITUTE OF METALS AND MATERIALS,519,14,0,0,0,0,14,0
DEVELOPMENTAL NEUROBIOLOGY,626,340,15,66,41,1,310,13
REVIEW OF GENERAL PSYCHOLOGY,234,133,18,11,19,2,125,18
JOURNAL OF NEURORADIOLOGY,306,59,0,13,2,1,54,0
EUROPEAN JOURNAL OF MIGRATION AND LAW,128,67,7,6,3,7,55,1
REVUE DE L ART,1,0,0,0,0,0,0,0
INTERNATIONAL JOURNAL OF SENSOR NETWORKS,410,1,0,0,1,0,0,0
SEMINARS IN HEMATOLOGY,266,124,4,21,7,7,104,9
METHODS IN CELL BIOLOGY,796,292,15,19,4,0,272,7
JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,1095,359,16,59,22,3,329,15
GEOMETRIAE DEDICATA,718,89,4,3,0,0,82,4
JOURNAL OF TRAUMA AND ACUTE CARE SURGERY,2723,2421,228,1216,105,116,2379,34
DIABETES CARE,2640,2386,293,1060,1013,163,2329,47
TRANSFUSION AND APHERESIS SCIENCE,994,221,17,44,2,5,183,6
JOURNAL OF ASTROPHYSICS AND ASTRONOMY,388,133,40,34,1,0,120,9
FOUNDATIONS OF SCIENCE,215,86,7,28,5,1,69,7
NEUROREPORT,1484,1047,24,67,64,2,1025,8
JOURNAL OF PERINATAL MEDICINE,751,177,11,35,8,0,157,4
NIHON REOROJI GAKKAISHI,143,2,0,0,0,0,2,0
JOURNAL OF INTEGRAL EQUATIONS AND APPLICATIONS,156,7,0,1,0,0,7,0
IEEE TRANSACTIONS ON SUSTAINABLE ENERGY,1054,54,1,3,3,6,44,4
EUROPEAN JOURNAL OF MARKETING,679,175,4,21,16,4,147,12
IMA JOURNAL OF NUMERICAL ANALYSIS,479,91,0,2,1,0,88,1
NANOSCALE HORIZONS,52,52,1,38,5,0,52,0
PHILOSOPHICAL MAGAZINE,1649,137,4,18,4,0,122,3
OPHTHALMIC GENETICS,464,169,0,30,1,1,155,5
ADVANCES IN CLINICAL CHEMISTRY,207,95,3,10,3,0,88,5
SCIENCE AS CULTURE,172,126,47,22,6,5,116,3
FRONTIERS OF HORMONE RESEARCH,130,37,1,3,2,0,34,1
METABOLITES,92,91,4,6,4,0,91,0
WESTERN HISTORICAL QUARTERLY,61,23,4,6,0,0,18,0
ACTA NEUROLOGICA SCANDINAVICA,984,686,38,168,84,8,643,12
3D PRINTING AND ADDITIVE MANUFACTURING,142,107,10,20,21,0,105,4
PHYSICAL THERAPY IN SPORT,440,414,14,171,9,0,410,5
KOREAN JOURNAL OF CHEMICAL ENGINEERING,2255,26,0,6,2,0,16,3
FRONTIERS OF COMPUTER SCIENCE,522,82,1,4,1,0,75,3
JOURNAL OF ETHOLOGY,258,138,15,24,12,0,127,10
TURK GOGUS KALP DAMAR CERRAHISI DERGISI-TURKISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,1038,0,0,0,0,0,0,0
UNIVERSITY OF TORONTO QUARTERLY,173,24,0,9,0,0,21,2
EIGHTEENTH CENTURY-THEORY AND INTERPRETATION,146,17,0,4,0,0,13,2
STUDI E PROBLEMI DI CRITICA TESTUALE,35,0,0,0,0,0,0,0
ORGANIZATION,310,219,15,38,21,6,207,7
BREAST,1141,587,14,116,43,32,545,5
SCIENCE & EDUCATION,428,268,14,115,6,1,261,7
JOURNAL OF OCEANOLOGY AND LIMNOLOGY,206,15,9,1,1,0,5,1
PROSTATE,1154,638,14,83,45,2,615,13
