journal,journal_if,year
International Journal of Applied Glass Science,1.845,2018
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,1.845,2018
Molecular Genetics and Metabolism Reports,1.845,2018
ARTHROPOD STRUCTURE & DEVELOPMENT,1.843,2018
Evaluation,1.843,2018
Applied Developmental Science,1.841,2018
Assessing Writing,1.841,2018
CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1.841,2018
CURRENT ORGANIC SYNTHESIS,1.841,2018
EUROPEAN JOURNAL OF ORTHODONTICS,1.841,2018
ANDROLOGIA,1.84,2018
COMPTES RENDUS GEOSCIENCE,1.84,2018
Earth and Environmental Science Transactions of the Royal Society of Edinburgh,1.84,2018
HEART & LUNG,1.84,2018
ISPRS International Journal of Geo-Information,1.84,2018
Journal of Bridge Engineering,1.84,2018
Psychology Research and Behavior Management,1.84,2018
JOURNAL OF HEALTH POLITICS POLICY AND LAW,1.839,2018
JOURNAL OF HEALTH POLITICS POLICY AND LAW,1.839,2018
Journal of Plant Interactions,1.839,2018
MACROMOLECULAR THEORY AND SIMULATIONS,1.839,2018
RESTORATIVE NEUROLOGY AND NEUROSCIENCE,1.839,2018
Science of Nature,1.839,2018
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,1.837,2018
JOURNAL OF RECONSTRUCTIVE MICROSURGERY,1.837,2018
European Constitutional Law Review,1.836,2018
Journal of Cognition and Development,1.836,2018
Journal of International Financial Markets Institutions & Money,1.836,2018
Journal of Maps,1.836,2018
Journal of Maps,1.836,2018
SOUTHERN CALIFORNIA LAW REVIEW,1.836,2018
CLAYS AND CLAY MINERALS,1.835,2018
ELECTROMAGNETIC BIOLOGY AND MEDICINE,1.835,2018
ACTA NEUROCHIRURGICA,1.834,2018
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,1.834,2018
HealthCare-The Journal of Delivery Science and Innovation,1.833,2018
International Journal on Semantic Web and Information Systems,1.833,2018
JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,1.833,2018
PEDOBIOLOGIA,1.833,2018
PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,1.833,2018
WORLD BANK RESEARCH OBSERVER,1.833,2018
Animals,1.832,2018
MECHANICS OF TIME-DEPENDENT MATERIALS,1.831,2018
PATHOBIOLOGY,1.831,2018
Psychology of Religion and Spirituality,1.831,2018
SOLVENT EXTRACTION AND ION EXCHANGE,1.831,2018
International Review of Research in Open and Distributed Learning,1.83,2018
Molecular & Cellular Toxicology,1.83,2018
Canadian Journal of Emergency Medicine,1.829,2018
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,1.829,2018
INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,1.829,2018
JOURNAL OF PROFESSIONAL NURSING,1.829,2018
JOURNAL OF PROFESSIONAL NURSING,1.829,2018
Journal of Brand Management,1.829,2018
Multisensory Research,1.829,2018
Multisensory Research,1.829,2018
Acta Metallurgica Sinica-English Letters,1.828,2018
Expert Review of Pharmacoeconomics & Outcomes Research,1.828,2018
Expert Review of Pharmacoeconomics & Outcomes Research,1.828,2018
JOURNAL OF HEALTH POPULATION AND NUTRITION,1.828,2018
REVIEWS ON ADVANCED MATERIALS SCIENCE,1.828,2018
JOURNAL OF APPLIED ENTOMOLOGY,1.827,2018
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,1.826,2018
JOURNAL OF ONCOLOGY PHARMACY PRACTICE,1.826,2018
JOURNAL OF ORTHOPAEDIC TRAUMA,1.826,2018
MODELLING AND SIMULATION IN MATERIALS SCIENCE AND ENGINEERING,1.826,2018
Gastroenterology Research and Practice,1.825,2018
International Journal of Simulation Modelling,1.825,2018
JOURNAL OF ARID ENVIRONMENTS,1.825,2018
Journal of Cultural Economics,1.825,2018
LOCAL GOVERNMENT STUDIES,1.825,2018
Higher Education Research & Development,1.824,2018
INDUSTRIAL AND CORPORATE CHANGE,1.824,2018
OPTICAL FIBER TECHNOLOGY,1.824,2018
OPTIMIZATION AND ENGINEERING,1.824,2018
Therapeutics and Clinical Risk Management,1.824,2018
Evolutionary Psychology,1.823,2018
JOURNAL OF BIOSCIENCES,1.823,2018
CHEMICAL PHYSICS,1.822,2018
CLINICAL EEG AND NEUROSCIENCE,1.822,2018
International Journal of Information Security,1.822,2018
INTERNATIONAL JOURNAL OF AUDIOLOGY,1.821,2018
INTERNATIONAL JOURNAL OF PSYCHIATRY IN CLINICAL PRACTICE,1.821,2018
JOURNAL OF FAMILY PLANNING AND REPRODUCTIVE HEALTH CARE,1.821,2018
JOURNAL OF FAMILY PLANNING AND REPRODUCTIVE HEALTH CARE,1.821,2018
SWISS MEDICAL WEEKLY,1.821,2018
EVOLUTION & DEVELOPMENT,1.82,2018
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,1.82,2018
MATERIALS TECHNOLOGY,1.82,2018
ADVANCES IN ATMOSPHERIC SCIENCES,1.819,2018
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,1.819,2018
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,1.819,2018
QUEST,1.819,2018
QUEST,1.819,2018
COMPTES RENDUS PALEVOL,1.818,2018
PHYSICAL BIOLOGY,1.818,2018
ANIMAL REPRODUCTION SCIENCE,1.817,2018
APPLIED ANIMAL BEHAVIOUR SCIENCE,1.817,2018
ELECTORAL STUDIES,1.817,2018
Global Health Action,1.817,2018
Global Health Action,1.817,2018
Minerva Endocrinologica,1.817,2018
TRANSGENIC RESEARCH,1.817,2018
BMC Endocrine Disorders,1.816,2018
FINANCIAL ANALYSTS JOURNAL,1.816,2018
PSYCHOPATHOLOGY,1.816,2018
PSYCHOPATHOLOGY,1.816,2018
AGRICULTURAL AND FOREST ENTOMOLOGY,1.815,2018
Forensic Science Medicine and Pathology,1.815,2018
International & Comparative Law Quarterly,1.815,2018
JOURNAL OF CHILD LANGUAGE,1.815,2018
PLANETARY AND SPACE SCIENCE,1.815,2018
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,1.815,2018
GRASS AND FORAGE SCIENCE,1.814,2018
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,1.814,2018
CLINICAL ANATOMY,1.813,2018
Communications in Computational Physics,1.813,2018
JOURNAL OF MICROSCOPY,1.813,2018
Odontology,1.813,2018
PSYCHIATRISCHE PRAXIS,1.813,2018
Public Policy and Administration,1.813,2018
Cultural Diversity & Ethnic Minority Psychology,1.812,2018
CURRENT NEUROVASCULAR RESEARCH,1.811,2018
EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,1.811,2018
Journal of Latina-o Psychology,1.811,2018
KINDHEIT UND ENTWICKLUNG,1.811,2018
BULLETIN OF ENTOMOLOGICAL RESEARCH,1.81,2018
EUROPEAN JOURNAL OF ORAL SCIENCES,1.81,2018
European Journal of International Law,1.81,2018
JOURNAL OF MATHEMATICAL CHEMISTRY,1.81,2018
PHYSICA D-NONLINEAR PHENOMENA,1.81,2018
ENGINEERING OPTIMIZATION,1.809,2018
LEARNING AND INDIVIDUAL DIFFERENCES,1.809,2018
Carbon Letters,1.807,2018
SPE RESERVOIR EVALUATION & ENGINEERING,1.807,2018
Eksploatacja i Niezawodnosc-Maintenance and Reliability,1.806,2018
SOCIAL DEVELOPMENT,1.806,2018
Water Resources and Economics,1.806,2018
Water Resources and Economics,1.806,2018
AGRONOMY JOURNAL,1.805,2018
AIDS RESEARCH AND HUMAN RETROVIRUSES,1.805,2018
Journal of Public Policy,1.805,2018
LETTERS IN APPLIED MICROBIOLOGY,1.805,2018
OXIDATION OF METALS,1.805,2018
Educational Management Administration & Leadership,1.804,2018
JOURNAL OF TRAUMATIC STRESS,1.804,2018
Canadian Respiratory Journal,1.803,2018
Human Fertility,1.803,2018
JOURNAL OF MICROBIOLOGICAL METHODS,1.803,2018
JOURNAL OF PROPULSION AND POWER,1.803,2018
ANTI-CANCER DRUGS,1.801,2018
Advances in Geophysics,1.8,2018
CHEMICAL SPECIATION AND BIOAVAILABILITY,1.8,2018
JOURNAL OF OCCUPATIONAL HEALTH,1.8,2018
Sustainable Computing-Informatics & Systems,1.8,2018
VETERINARY DERMATOLOGY,1.8,2018
Research in Autism Spectrum Disorders,1.799,2018
TREES-STRUCTURE AND FUNCTION,1.799,2018
PARLIAMENTARY AFFAIRS,1.798,2018
Research in Transportation Economics,1.798,2018
Social Psychology of Education,1.798,2018
Teachers and Teaching,1.798,2018
DISASTERS,1.797,2018
Mental Health and Physical Activity,1.797,2018
WORLD BANK ECONOMIC REVIEW,1.797,2018
Atmospheric Science Letters,1.796,2018
Botanical Studies,1.796,2018
Journal of Development Effectiveness,1.796,2018
Stata Journal,1.796,2018
Stata Journal,1.796,2018
Conservation & Society,1.795,2018
ECS Journal of Solid State Science and Technology,1.795,2018
INORGANIC CHEMISTRY COMMUNICATIONS,1.795,2018
JOURNAL OF AGING AND PHYSICAL ACTIVITY,1.795,2018
JOURNAL OF AGING AND PHYSICAL ACTIVITY,1.795,2018
JOURNAL OF RISK AND INSURANCE,1.795,2018
Proteome Science,1.795,2018
QUALITATIVE INQUIRY,1.795,2018
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,1.795,2018
STARCH-STARKE,1.795,2018
INTERNATIONAL JOURNAL OF DERMATOLOGY,1.794,2018
PATHOLOGY RESEARCH AND PRACTICE,1.794,2018
Attention Perception & Psychophysics,1.793,2018
Attention Perception & Psychophysics,1.793,2018
European Journal of Innovation Management,1.793,2018
AGROFORESTRY SYSTEMS,1.792,2018
Analysis and Mathematical Physics,1.792,2018
BMC Veterinary Research,1.792,2018
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS,1.792,2018
JOURNAL OF BEHAVIORAL DECISION MAKING,1.791,2018
MATHEMATICS AND MECHANICS OF SOLIDS,1.791,2018
REVIEW OF INTERNATIONAL STUDIES,1.791,2018
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,1.79,2018
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,1.789,2018
PLANT ECOLOGY,1.789,2018
Analytical Cellular Pathology,1.788,2018
BEHAVIOURAL PHARMACOLOGY,1.788,2018
MACHINE VISION AND APPLICATIONS,1.788,2018
Physical Review Accelerators and Beams,1.788,2018
CLAY MINERALS,1.787,2018
Journal of Gastric Cancer,1.787,2018
3 Biotech,1.786,2018
ARCHIVES OF ANIMAL NUTRITION,1.786,2018
HOUSING POLICY DEBATE,1.786,2018
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES,1.786,2018
Journal of Electronic Commerce Research,1.786,2018
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,1.785,2018
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,1.785,2018
Journal of Science Education and Technology,1.785,2018
Journal of Science Education and Technology,1.785,2018
MEDICAL ENGINEERING & PHYSICS,1.785,2018
RARE METALS,1.785,2018
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,1.784,2018
Journal of Earth Science,1.784,2018
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,1.783,2018
JOURNAL OF ATMOSPHERIC CHEMISTRY,1.783,2018
European Journal of Political Economy,1.782,2018
FOREIGN LANGUAGE ANNALS,1.782,2018
Games for Health Journal,1.782,2018
JOURNAL OF MOLECULAR EVOLUTION,1.782,2018
JOURNAL OF MONEY CREDIT AND BANKING,1.782,2018
MOLECULAR SIMULATION,1.782,2018
European Journal of Trauma and Emergency Surgery,1.781,2018
JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,1.781,2018
OPHTHALMOLOGICA,1.781,2018
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,1.78,2018
Hereditary Cancer in Clinical Practice,1.78,2018
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,1.78,2018
JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,1.78,2018
POLITICAL QUARTERLY,1.78,2018
IET Communications,1.779,2018
International Journal of Precision Engineering and Manufacturing,1.779,2018
JOURNAL OF ECONOMIC ENTOMOLOGY,1.779,2018
SOCIOLOGICAL FORUM,1.779,2018
ZOOLOGY,1.779,2018
Extremes,1.778,2018
Image Analysis & Stereology,1.778,2018
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,1.777,2018
HISTOLOGY AND HISTOPATHOLOGY,1.777,2018
Cardiovascular Engineering and Technology,1.776,2018
Microscopy,1.776,2018
BMC Surgery,1.775,2018
EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY,1.775,2018
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1.775,2018
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,1.775,2018
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,1.775,2018
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,1.774,2018
Journal of Sports Science and Medicine,1.774,2018
Quarterly Journal of Political Science,1.774,2018
WATER AIR AND SOIL POLLUTION,1.774,2018
Brazilian Oral Research,1.773,2018
Chinese Journal of Natural Medicines,1.773,2018
JOURNAL OF HEALTH COMMUNICATION,1.773,2018
JOURNAL OF PUBLIC ECONOMICS,1.773,2018
Journal of Semantics,1.773,2018
Asia-Pacific Journal of Atmospheric Sciences,1.772,2018
Asian Pacific Journal of Tropical Medicine,1.772,2018
Journal of Interprofessional Care,1.772,2018
Journal of Interprofessional Care,1.772,2018
CLINICAL AND EXPERIMENTAL DERMATOLOGY,1.771,2018
International Review for the Sociology of Sport,1.771,2018
NEOPLASMA,1.771,2018
RENEWABLE AGRICULTURE AND FOOD SYSTEMS,1.771,2018
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,1.77,2018
APPLIED PHYSICS B-LASERS AND OPTICS,1.769,2018
Austral Entomology,1.769,2018
INTERNATIONAL POLITICAL SCIENCE REVIEW,1.769,2018
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1.769,2018
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,1.768,2018
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,1.768,2018
European Journal of Population-Revue Europeenne de Demographie,1.768,2018
Journal of School Nursing,1.768,2018
Journal of School Nursing,1.768,2018
INTERNAL MEDICINE JOURNAL,1.767,2018
INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,1.767,2018
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,1.767,2018
Yale Journal on Regulation,1.767,2018
JOURNAL OF SURVEYING ENGINEERING,1.766,2018
RUBBER CHEMISTRY AND TECHNOLOGY,1.766,2018
CARDIOVASCULAR PATHOLOGY,1.765,2018
Compare-A Journal of Comparative and International Education,1.765,2018
NORWEGIAN JOURNAL OF GEOLOGY,1.765,2018
SOCIAL SCIENCE RESEARCH,1.765,2018
Electronics,1.764,2018
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,1.764,2018
REAL ESTATE ECONOMICS,1.764,2018
JOURNAL OF CHEMICAL EDUCATION,1.763,2018
JOURNAL OF LEGAL STUDIES,1.763,2018
Journal of Geriatric Cardiology,1.763,2018
Review of International Organizations,1.763,2018
Ships and Offshore Structures,1.763,2018
Thoracic Surgery Clinics,1.763,2018
Journal of Infrared Millimeter and Terahertz Waves,1.762,2018
KNEE,1.762,2018
Journal of Forest Economics,1.761,2018
Journal of Forest Economics,1.761,2018
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,1.761,2018
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,1.761,2018
APPLIED PSYCHOLINGUISTICS,1.76,2018
EXPERIMENTAL AND APPLIED ACAROLOGY,1.76,2018
JOURNAL OF BASIC MICROBIOLOGY,1.76,2018
PEDIATRIC DRUGS,1.76,2018
JOURNAL OF DIFFERENTIAL GEOMETRY,1.759,2018
TRIBOLOGY TRANSACTIONS,1.759,2018
YONSEI MEDICAL JOURNAL,1.759,2018
ADMINISTRATIVE LAW REVIEW,1.758,2018
CONTINUUM MECHANICS AND THERMODYNAMICS,1.758,2018
MACROMOLECULAR RESEARCH,1.758,2018
Transnational Environmental Law,1.758,2018
JOURNAL OF CLINICAL NURSING,1.757,2018
JOURNAL OF CLINICAL NURSING,1.757,2018
Postepy Dermatologii i Alergologii,1.757,2018
BRAIN & DEVELOPMENT,1.756,2018
Migration Studies,1.756,2018
BIOMETRICS,1.755,2018
JOURNAL OF COMPOSITE MATERIALS,1.755,2018
JOURNAL OF QUALITY TECHNOLOGY,1.755,2018
IET Signal Processing,1.754,2018
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,1.754,2018
JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,1.754,2018
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy,1.754,2018
JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1.753,2018
JOURNAL OF APICULTURAL RESEARCH,1.752,2018
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE,1.752,2018
Clinical Respiratory Journal,1.751,2018
RESEARCH IN VETERINARY SCIENCE,1.751,2018
EUROPEAN ARCHIVES OF OTO-RHINO-LARYNGOLOGY,1.75,2018
Economics of Transportation,1.75,2018
Feminist Criminology,1.75,2018
INTERNATIONAL JOURNAL OF HEALTH SERVICES,1.75,2018
INTERNATIONAL JOURNAL OF HEALTH SERVICES,1.75,2018
International Journal of Material Forming,1.75,2018
JOURNAL OF EARLY ADOLESCENCE,1.75,2018
Journal of the Economics of Ageing,1.75,2018
PHYTOCOENOLOGIA,1.75,2018
Recent Patents on Nanotechnology,1.75,2018
SECOND LANGUAGE RESEARCH,1.75,2018
SOCIAL PSYCHOLOGY QUARTERLY,1.75,2018
Swiss Political Science Review,1.75,2018
EURASIP Journal on Advances in Signal Processing,1.749,2018
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1.749,2018
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1.749,2018
BIOMEDICAL CHROMATOGRAPHY,1.748,2018
ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,1.747,2018
Food Science & Nutrition,1.747,2018
ADVANCES IN SPACE RESEARCH,1.746,2018
CULTURE HEALTH & SEXUALITY,1.746,2018
CURRENT SOCIOLOGY,1.746,2018
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,1.746,2018
JOURNAL OF MEMBRANE BIOLOGY,1.746,2018
JOURNAL OF VIROLOGICAL METHODS,1.746,2018
BIOPHYSICAL CHEMISTRY,1.745,2018
Sustainability Accounting Management and Policy Journal,1.745,2018
EUROPEAN JOURNAL OF PLANT PATHOLOGY,1.744,2018
Journal of Palaeogeography-English,1.744,2018
Asia-Pacific Journal of Public Health,1.743,2018
Asia-Pacific Journal of Public Health,1.743,2018
BREEDING SCIENCE,1.743,2018
Canadian Water Resources Journal,1.743,2018
Cardiology Journal,1.743,2018
Journal of Physiological Anthropology,1.743,2018
Journal of the Brazilian Society of Mechanical Sciences and Engineering,1.743,2018
Marine Biodiversity,1.743,2018
AJIDD-American Journal on Intellectual and Developmental Disabilities,1.742,2018
BULLETIN OF MARINE SCIENCE,1.742,2018
DRUG DEVELOPMENT RESEARCH,1.742,2018
ECOLOGY OF FRESHWATER FISH,1.742,2018
Health Information Management Journal,1.742,2018
Health Information Management Journal,1.742,2018
Journal of the Iranian Chemical Society,1.742,2018
Zebrafish,1.742,2018
ACM SIGCOMM Computer Communication Review,1.74,2018
BMC Medical Genetics,1.74,2018
Dermatologic Therapy,1.74,2018
GENESIS,1.74,2018
European Law Journal,1.739,2018
TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,1.739,2018
INTERNATIONAL MIGRATION REVIEW,1.738,2018
JOURNAL OF VERTEBRATE PALEONTOLOGY,1.738,2018
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,1.737,2018
Crime Media Culture,1.737,2018
Hemodialysis International,1.737,2018
Journal of Refugee Studies,1.737,2018
CULTURAL GEOGRAPHIES,1.736,2018
EUROPEAN JOURNAL OF MEDICAL RESEARCH,1.736,2018
HYPERTENSION IN PREGNANCY,1.736,2018
Journal of Pediatric Urology,1.736,2018
LETHAIA,1.736,2018
MATERNAL AND CHILD HEALTH JOURNAL,1.736,2018
Respiratory Care,1.736,2018
JOURNAL OF MUSIC THERAPY,1.735,2018
Nondestructive Testing and Evaluation,1.735,2018
Personal and Ubiquitous Computing,1.735,2018
VANDERBILT LAW REVIEW,1.735,2018
ACM Transactions on Computer-Human Interaction,1.734,2018
INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,1.734,2018
Journal of Immunotoxicology,1.734,2018
Geothermal Energy,1.732,2018
JOURNAL OF TOXICOLOGICAL SCIENCES,1.732,2018
Journal of English for Academic Purposes,1.732,2018
Journal of Marine Science and Engineering,1.732,2018
Journal of Youth Studies,1.732,2018
Mediterranean Politics,1.732,2018
Personality and Mental Health,1.732,2018
SYSTEMATIC AND APPLIED ACAROLOGY,1.732,2018
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,1.731,2018
MAGNETIC RESONANCE IN CHEMISTRY,1.731,2018
Small-Scale Forestry,1.731,2018
Turkish Journal of Agriculture and Forestry,1.731,2018
BIOMARKERS,1.73,2018
EDUCATIONAL REVIEW,1.73,2018
INHALATION TOXICOLOGY,1.73,2018
CORNELL LAW REVIEW,1.729,2018
Distance Education,1.729,2018
FISH PHYSIOLOGY AND BIOCHEMISTRY,1.729,2018
Macromolecular Reaction Engineering,1.729,2018
NONLINEARITY,1.729,2018
HASTINGS CENTER REPORT,1.728,2018
HASTINGS CENTER REPORT,1.728,2018
JOURNAL OF CLINICAL LABORATORY ANALYSIS,1.728,2018
European Transport Research Review,1.727,2018
European Transport Research Review,1.727,2018
Fottea,1.727,2018
International Journal of Mining Reclamation and Environment,1.727,2018
Journal of Chemistry,1.727,2018
Progress in Tumor Research,1.727,2018
TIME & SOCIETY,1.727,2018
Clinical Spine Surgery,1.726,2018
Italian Journal of Pediatrics,1.726,2018
BIRD CONSERVATION INTERNATIONAL,1.725,2018
IEEE COMPUTER GRAPHICS AND APPLICATIONS,1.725,2018
JOURNAL OF APPLIED GENETICS,1.725,2018
JOURNAL OF SEX & MARITAL THERAPY,1.725,2018
Musculoskeletal Science and Practice,1.725,2018
PRIMARY CARE,1.723,2018
REPRODUCTION FERTILITY AND DEVELOPMENT,1.723,2018
Southeast European and Black Sea Studies,1.723,2018
World Neurosurgery,1.723,2018
Educational Assessment Evaluation and Accountability,1.722,2018
Discourse-Studies in the Cultural Politics of Education,1.721,2018
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME,1.72,2018
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,1.72,2018
MEDICINAL CHEMISTRY RESEARCH,1.72,2018
ACTA HISTOCHEMICA,1.719,2018
EXPERIMENTAL PARASITOLOGY,1.719,2018
FACIES,1.719,2018
FEMINIST ECONOMICS,1.719,2018
JOURNAL OF ULTRASOUND IN MEDICINE,1.718,2018
British Food Journal,1.717,2018
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,1.717,2018
Journal of Operational Oceanography,1.717,2018
PUBLIC CULTURE,1.717,2018
REAL-TIME SYSTEMS,1.717,2018
Systems Biology in Reproductive Medicine,1.717,2018
ChemistrySelect,1.716,2018
EUROPEAN JOURNAL OF MARKETING,1.716,2018
EUROPEAN JOURNAL OF OPHTHALMOLOGY,1.716,2018
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,1.716,2018
JOURNAL OF KOREAN MEDICAL SCIENCE,1.716,2018
Journal of Esthetic and Restorative Dentistry,1.716,2018
MACHINING SCIENCE AND TECHNOLOGY,1.716,2018
Medical Education Online,1.715,2018
TEACHING IN HIGHER EDUCATION,1.715,2018
ACM Transactions on Privacy and Security,1.714,2018
Australian Endodontic Journal,1.714,2018
Bulletin of Mathematical Sciences,1.714,2018
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,1.714,2018
Canadian Journal of Gastroenterology and Hepatology,1.714,2018
DISPLAYS,1.714,2018
JOURNAL OF PLASTIC FILM & SHEETING,1.714,2018
Journal of Industrial Relations,1.714,2018
Nutrition Research and Practice,1.714,2018
Sports Biomechanics,1.714,2018
Ecological Complexity,1.713,2018
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS,1.713,2018
MEMORY,1.713,2018
JOURNAL OF ADDICTIVE DISEASES,1.712,2018
MOLECULAR BIOTECHNOLOGY,1.712,2018
Technology Pedagogy and Education,1.712,2018
EUROPEAN ECONOMIC REVIEW,1.711,2018
JOURNAL OF SPINAL CORD MEDICINE,1.711,2018
Journal of Spatial Science,1.711,2018
METEOROLOGICAL APPLICATIONS,1.711,2018
Finance Research Letters,1.709,2018
ARCTIC ANTARCTIC AND ALPINE RESEARCH,1.708,2018
EPISODES,1.708,2018
JOURNAL OF COMPARATIVE ECONOMICS,1.708,2018
IRANIAN POLYMER JOURNAL,1.707,2018
JOURNAL OF CAREER ASSESSMENT,1.707,2018
PEDIATRIC EXERCISE SCIENCE,1.707,2018
TELECOMMUNICATION SYSTEMS,1.707,2018
AMERICAN JOURNAL OF MANAGED CARE,1.706,2018
AMERICAN JOURNAL OF MANAGED CARE,1.706,2018
SECURITY STUDIES,1.706,2018
Aquatic Invasions,1.705,2018
Cambridge Journal of Education,1.705,2018
INTERNATIONAL FORESTRY REVIEW,1.705,2018
POLYMER-PLASTICS TECHNOLOGY AND ENGINEERING,1.705,2018
ENGLISH FOR SPECIFIC PURPOSES,1.704,2018
JOURNAL OF SEA RESEARCH,1.704,2018
Saudi Journal of Gastroenterology,1.704,2018
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,1.704,2018
Water Alternatives-An Interdisciplinary Journal on Water Politics and Development,1.704,2018
ANNALS OF APPLIED PROBABILITY,1.703,2018
CANADIAN JOURNAL OF FOREST RESEARCH,1.703,2018
HEAT TRANSFER ENGINEERING,1.703,2018
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,1.703,2018
SOCIAL INDICATORS RESEARCH,1.703,2018
Studies in Conflict & Terrorism,1.703,2018
Aslib Journal of Information Management,1.702,2018
Aslib Journal of Information Management,1.702,2018
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,1.702,2018
POPULATION STUDIES-A JOURNAL OF DEMOGRAPHY,1.702,2018
AUSTRALASIAN JOURNAL OF DERMATOLOGY,1.701,2018
COASTAL MANAGEMENT,1.701,2018
COASTAL MANAGEMENT,1.701,2018
Contributions to Nephrology,1.701,2018
Frontiers in Energy,1.701,2018
Frontiers of Materials Science,1.701,2018
PHYSIOLOGICAL RESEARCH,1.701,2018
Pain Research & Management,1.701,2018
SOIL SCIENCE,1.7,2018
APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,1.699,2018
GEOLOGICA CARPATHICA,1.699,2018
Geotechnique Letters,1.699,2018
JOURNAL OF RISK RESEARCH,1.699,2018
NONLINEAR PROCESSES IN GEOPHYSICS,1.699,2018
ADMINISTRATION & SOCIETY,1.698,2018
JOURNAL OF NEUROGENETICS,1.698,2018
Methods in Cell Biology,1.698,2018
European Journal of Oncology Nursing,1.697,2018
European Journal of Oncology Nursing,1.697,2018
JOURNAL OF ANIMAL SCIENCE,1.697,2018
AMERICAN JOURNAL OF INTERNATIONAL LAW,1.696,2018
