journal,type,items,blogs,facebook,news,policies,twitter,wikipedia
BODY IMAGE,open,82,10,24,21,2,58,2
APPLIED OPTICS,closed,8706,16,105,54,0,364,20
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,closed,3607,35,133,35,20,830,27
JOURNAL OF GERONTOLOGICAL SOCIAL WORK,closed,116,3,4,6,4,51,1
ANDAMIOS,closed,26,0,0,0,0,0,0
GOVERNMENT INFORMATION QUARTERLY,open,65,3,4,1,3,45,2
REPRESENTATIONS,open,4,0,0,0,0,1,0
CRITICAL CARE NURSING CLINICS OF NORTH AMERICA,closed,295,2,9,3,1,74,4
AFRICAN JOURNALISM STUDIES,open,6,0,0,1,0,4,0
HUMAN ECOLOGY REVIEW,open,16,0,0,0,0,0,0
IEEE NETWORK,open,72,1,1,1,1,18,0
RAND JOURNAL OF ECONOMICS,closed,96,6,3,3,8,28,2
BULLETIN OF THE LEBEDEV PHYSICS INSTITUTE,closed,521,0,0,1,0,1,1
COMMUNICATIONS IN APPLIED MATHEMATICS AND COMPUTATIONAL SCIENCE,open,34,0,1,0,0,15,3
INTEGRATION-THE VLSI JOURNAL,open,30,0,1,0,0,4,0
REVIEW OF INTERNATIONAL POLITICAL ECONOMY,closed,210,21,9,12,5,131,4
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,closed,542,0,6,0,0,20,1
ACTA BIOMATERIALIA,open,944,25,62,126,1,396,14
ANIMAL PRODUCTION SCIENCE,open,186,2,12,2,3,38,1
NANOMATERIALS,open,1981,9,56,20,2,467,1
SOLAR SYSTEM RESEARCH,closed,474,4,2,3,0,12,4
JOURNAL OF THE INSTITUTE OF BREWING,open,263,2,2,4,0,31,4
MASSACHUSETTS REVIEW,open,2,0,0,0,0,1,0
TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI,closed,467,0,0,0,1,2,0
GERODONTOLOGY,open,160,0,6,0,5,19,0
RESEARCH IN NONDESTRUCTIVE EVALUATION,open,5,0,0,0,0,0,0
ECOSPHERE,open,1956,176,318,137,29,1317,28
GETTY RESEARCH JOURNAL,open,3,0,0,0,0,0,0
ISRAEL MEDICAL ASSOCIATION JOURNAL,open,2,0,0,0,0,2,0
PALAEONTOLOGISCHE ZEITSCHRIFT,closed,178,4,12,7,0,39,70
Annual Review of Entomology,closed,175,54,37,17,14,122,32
PURE AND APPLIED CHEMISTRY,open,836,9,16,14,1,55,26
JOURNAL OF MEDICAL SYSTEMS,open,142,3,5,5,3,73,3
SIAM JOURNAL ON COMPUTING,closed,204,2,1,2,0,11,3
PERSONALITY AND INDIVIDUAL DIFFERENCES,open,517,59,78,79,6,361,15
TROPICAL ZOOLOGY,open,21,0,0,0,0,3,3
AUDITING-A JOURNAL OF PRACTICE & THEORY,open,11,0,0,0,0,0,0
ACTA CHIRURGICA BELGICA,open,10,0,0,0,0,2,0
MUSICA HODIE,open,35,0,0,0,0,1,0
EUROPEAN JOURNAL OF APPLIED MATHEMATICS,open,121,1,3,0,0,53,0
BRATISLAVA MEDICAL JOURNAL-BRATISLAVSKE LEKARSKE LISTY,closed,38,0,0,0,0,2,0
ASIAN JOURNAL OF ANIMAL AND VETERINARY ADVANCES,open,146,0,0,0,0,1,0
BULLETIN MONUMENTAL,closed,23,0,0,0,0,0,0
ANNUAL REVIEWS IN CONTROL,open,52,1,1,0,0,9,1
ACTA BOTANICA GALLICA,open,23,0,1,0,0,2,0
CHEMICAL SPECIATION AND BIOAVAILABILITY,open,128,0,1,0,0,34,0
LANGENBECKS ARCHIVES OF SURGERY,closed,773,1,35,2,12,322,3
STEM CELL RESEARCH,open,668,48,44,23,1,405,12
ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY,closed,43,0,0,0,0,10,1
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,open,1041,205,250,220,115,890,44
JOURNAL OF NEW MUSIC RESEARCH,open,64,1,6,2,0,29,4
ARCHITECTURAL DESIGN,open,5,0,0,0,0,0,0
APPLICATIONS IN PLANT SCIENCES,open,555,60,74,102,1,280,4
ANNALS OF REGIONAL SCIENCE,open,121,5,12,2,2,62,1
JOURNAL OF SURFACTANTS AND DETERGENTS,open,57,0,1,2,0,17,0
SWISS JOURNAL OF PSYCHOLOGY,closed,127,4,3,3,1,23,2
JOURNAL OF COASTAL RESEARCH,closed,2558,17,18,13,19,270,15
JOURNAL OF FOREST RESEARCH,open,27,2,1,0,0,2,0
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,open,155,7,15,1,0,89,2
EARTH INTERACTIONS,closed,110,4,3,10,4,61,1
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,open,95,1,6,0,0,43,2
SOCIAL COMPASS,open,24,2,0,1,0,10,1
ACS CHEMICAL NEUROSCIENCE,closed,681,16,42,142,1,356,21
FEMINIST MEDIA STUDIES,closed,78,10,6,10,0,50,4
ANNALS OF TOURISM RESEARCH,closed,385,8,36,24,13,105,4
ANNALS OF THORACIC SURGERY,closed,3281,49,179,120,97,1272,14
PATHOLOGE,closed,532,6,8,0,1,76,0
JOURNAL OF POLYMER RESEARCH,closed,1848,2,3,2,0,286,0
ASTA-ADVANCES IN STATISTICAL ANALYSIS,open,45,0,0,0,0,10,1
MOLECULAR PLANT-MICROBE INTERACTIONS,open,102,3,11,2,0,73,2
RECORDS OF THE AUSTRALIAN MUSEUM,open,64,3,3,2,0,15,9
THERAPEUTIC ADVANCES IN RESPIRATORY DISEASE,open,172,2,15,2,9,84,5
ALLERGY,closed,924,78,475,148,57,828,15
RANGELAND JOURNAL,closed,302,2,14,4,12,68,1
CANCER BIOLOGY & THERAPY,open,908,2,37,15,4,391,17
PROGRESS OF THEORETICAL PHYSICS,open,114,1,2,1,0,30,2
JOURNAL OF ASIAN ECONOMICS,closed,25,0,0,0,0,1,0
JOURNAL OF NEMATOLOGY,open,48,0,0,0,0,6,0
INFLAMMOPHARMACOLOGY,closed,290,9,28,11,1,84,2
INTERNATIONAL JOURNAL OF ORAL & MAXILLOFACIAL IMPLANTS,open,1025,1,17,1,4,39,3
UNIVERSITAS PSYCHOLOGICA,closed,6,0,0,0,0,1,0
ANNALS OF FOREST RESEARCH,closed,3,0,0,0,0,0,0
APPLIED BIOCHEMISTRY AND MICROBIOLOGY,open,1,0,0,0,0,0,0
TECNOLOGIA Y CIENCIAS DEL AGUA,open,128,0,0,0,0,0,0
POPULATION HEALTH METRICS,open,224,38,26,23,23,204,6
CURRENT PROBLEMS IN CANCER,open,14,0,2,0,0,7,2
IT PROFESSIONAL,closed,190,1,7,1,2,48,1
CHINESE JOURNAL OF COMMUNICATION,closed,163,9,6,4,1,64,3
AGRICULTURE AND HUMAN VALUES,open,70,7,5,5,6,45,2
JOURNAL OF ENDOVASCULAR THERAPY,open,63,0,15,5,3,17,0
AIDS RESEARCH AND HUMAN RETROVIRUSES,closed,586,4,39,15,1,294,0
FOOD CHEMISTRY,open,1143,38,84,67,5,381,16
INTERNATIONAL POLITICS,open,64,7,12,1,2,35,1
WILLIAM AND MARY QUARTERLY,open,4,0,0,0,0,1,0
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,open,115,3,4,5,5,35,2
BIOSCIENCE,closed,59,7,16,13,1,48,1
BEHAVIORAL AND BRAIN SCIENCES,open,43,20,22,11,2,37,10
JOURNAL OF DERMATOLOGICAL SCIENCE,open,69,1,4,2,1,28,0
JOURNAL OF MOLECULAR NEUROSCIENCE,closed,1314,10,43,63,1,438,12
CURRENT ANTHROPOLOGY,closed,385,75,102,35,4,226,26
REMOTE SENSING LETTERS,open,67,0,1,1,0,9,0
ELECTRIC POWER COMPONENTS AND SYSTEMS,closed,1063,0,1,0,1,17,0
ENERGY RESEARCH & SOCIAL SCIENCE,closed,249,9,14,9,8,222,1
CIRCULATION-GENOMIC AND PRECISION MEDICINE,closed,30,2,2,3,0,23,0
BEN JONSON JOURNAL,open,4,0,1,0,0,0,0
JOURNAL OF CHEMISTRY,open,2061,5,16,4,3,208,7
ADVANCES IN COLLOID AND INTERFACE SCIENCE,open,103,2,4,2,2,38,3
LEGISLATIVE STUDIES QUARTERLY,open,10,2,0,1,0,8,0
JAMA SURGERY,open,604,169,458,281,39,576,19
JOURNAL OF EVIDENCE-BASED DENTAL PRACTICE,open,9,0,1,2,0,7,2
JOURNAL OF NANOPHOTONICS,open,123,1,13,3,0,44,1
EXTREMES,closed,87,0,8,0,0,12,0
ANNALS OF CLINICAL BIOCHEMISTRY,closed,401,4,13,3,1,161,2
CELL HOST & MICROBE,open,701,208,200,228,16,598,62
JOURNAL OF MOLECULAR SPECTROSCOPY,closed,714,0,7,0,0,31,2
JOURNAL OF CLINICAL PSYCHIATRY,closed,872,111,463,162,41,701,37
CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,closed,1081,1,0,0,1,4,0
ATTACHMENT & HUMAN DEVELOPMENT,closed,178,24,24,5,5,85,3
JOURNAL OF SOCIAL WORK PRACTICE,closed,172,1,14,1,3,71,1
UROLITHIASIS,open,50,3,6,0,3,16,0
LITHOSPHERE,open,284,24,30,128,0,55,5
JOURNAL OF SOIL AND WATER CONSERVATION,closed,284,3,1,1,7,0,1
GENETICS IN MEDICINE,open,835,116,450,150,57,693,27
CHEMISTRY LETTERS,open,422,0,4,2,0,14,3
ASIA-PACIFIC JOURNAL OF CHEMICAL ENGINEERING,closed,714,1,3,0,0,20,0
JOURNAL OF STRATEGIC STUDIES,closed,230,28,36,33,7,154,9
BANGLADESH JOURNAL OF PLANT TAXONOMY,open,160,2,2,1,0,4,1
GERMAN POLITICS,open,14,0,1,0,0,3,0
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,closed,48,3,1,3,0,8,1
JOURNAL OF NEURORADIOLOGY,open,12,0,0,0,0,2,0
MITOCHONDRION,closed,436,9,43,11,3,174,6
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,open,1285,0,9,0,2,82,4
HIGHER EDUCATION,closed,562,25,245,22,33,424,3
CHILD AND ADOLESCENT PSYCHIATRY AND MENTAL HEALTH,open,273,53,197,15,5,269,3
ROBOTICA,open,77,1,0,4,0,8,1
GROWTH FACTORS,closed,176,2,5,0,0,108,0
Annual Review of Physical Chemistry,open,35,3,3,2,0,16,2
ANNALS OF APPLIED STATISTICS,closed,106,1,4,5,0,20,1
METHODS AND APPLICATIONS IN FLUORESCENCE,open,53,1,4,2,0,24,0
JOURNAL OF HIGHER EDUCATION,open,15,2,2,2,1,8,0
HEALTH PSYCHOLOGY REVIEW,closed,120,28,19,14,9,89,3
HOUSING STUDIES,closed,301,4,8,13,42,95,2
ARCADIA,closed,98,1,1,0,0,1,0
SPECULUM-A JOURNAL OF MEDIEVAL STUDIES,closed,137,11,7,1,0,30,5
EUROPEAN ECONOMIC REVIEW,closed,345,12,9,12,15,86,3
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,open,717,58,43,53,36,322,16
POSTGRADUATE MEDICAL JOURNAL,open,173,18,70,12,8,143,6
MEASUREMENT & CONTROL,closed,89,1,0,0,0,8,0
ACTA NEUROPSYCHIATRICA,open,35,3,17,1,1,24,0
REVIJA ZA SOCIJALNU POLITIKU,open,91,0,1,0,0,0,0
ADVANCES IN CONCRETE CONSTRUCTION,closed,2,0,0,0,0,0,0
ANTIQUITY,closed,369,33,109,36,0,191,25
INTERNATIONAL JOURNAL OF MANPOWER,closed,315,0,4,3,13,40,1
PUBLIC PERSONNEL MANAGEMENT,open,8,0,0,0,0,4,0
PROCEEDINGS OF THE NUTRITION SOCIETY,closed,31,2,13,3,1,23,1
STRUCTURAL CONCRETE,open,45,0,0,0,0,0,1
NATURE PLANTS,closed,276,109,177,130,4,274,15
JOURNAL OF GLAUCOMA,closed,1237,5,276,27,37,1046,5
CURRENT HYPERTENSION REPORTS,open,150,6,10,16,2,79,2
JOURNAL OF THE KOREAN SURGICAL SOCIETY,open,244,1,7,2,1,19,2
JOURNAL OF HAND SURGERY-AMERICAN VOLUME,open,116,3,29,1,3,68,1
VASCULAR PHARMACOLOGY,closed,450,4,21,4,0,131,4
NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL,closed,165,2,7,2,0,35,2
JOURNAL OF SUSTAINABLE TOURISM,closed,488,13,34,29,24,237,5
ANTHROPOLOGY SOUTHERN AFRICA,open,19,0,3,0,0,4,0
NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,closed,64,2,3,2,3,22,1
INTERNATIONAL MICROBIOLOGY,open,2,1,0,0,0,2,0
SOFTWARE-PRACTICE & EXPERIENCE,closed,439,0,2,0,0,52,5
PLANETARY AND SPACE SCIENCE,open,342,59,23,27,2,212,19
JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,open,164,1,2,0,0,50,3
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,open,209,11,11,13,6,83,3
CONTEMPORARY CLINICAL TRIALS,closed,606,19,31,19,19,293,2
PLANT CELL AND ENVIRONMENT,closed,743,21,96,69,0,537,7
HERITAGE SCIENCE,open,82,8,24,4,0,49,2
CULTURAL & SOCIAL HISTORY,closed,155,2,6,0,0,105,2
ZEITSCHRIFT FUR PHILOSOPHISCHE FORSCHUNG,closed,64,0,0,0,0,0,0
IEEE INDUSTRIAL ELECTRONICS MAGAZINE,open,12,0,0,1,0,1,1
JOURNAL OF THE AMERICAN INSTITUTE FOR CONSERVATION,closed,100,0,5,1,0,10,0
IRANIAN JOURNAL OF SCIENCE AND TECHNOLOGY-TRANSACTIONS OF MECHANICAL ENGINEERING,open,3,0,0,0,0,0,0
PATHOGENS AND GLOBAL HEALTH,closed,76,1,3,1,0,45,0
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,closed,996,1,1,0,0,11,1
ARTIFICIAL INTELLIGENCE REVIEW,open,34,0,1,0,0,11,0
JOURNAL OF GENERAL PLANT PATHOLOGY,open,24,0,3,0,0,4,1
SEED SCIENCE RESEARCH,open,49,1,16,0,0,4,1
BIOTECHNOLOGY FOR BIOFUELS,open,1580,105,76,63,8,742,22
IET CIRCUITS DEVICES & SYSTEMS,closed,442,0,0,0,0,24,0
RADIOLOGY AND ONCOLOGY,open,390,0,8,4,1,62,1
HORMONES AND BEHAVIOR,open,375,42,53,47,7,237,15
INDUSTRIAL RELATIONS,open,66,5,2,4,8,27,1
PFERDEHEILKUNDE,open,279,0,0,0,0,0,1
COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,closed,1899,2,7,10,1,37,4
PUBLIC UNDERSTANDING OF SCIENCE,closed,348,75,51,41,36,321,9
MATERIALS SCIENCE-MEDZIAGOTYRA,open,145,0,0,0,0,0,0
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,closed,38,10,10,8,0,33,0
BIOINVASIONS RECORDS,open,221,3,2,4,1,5,11
MINERVA CARDIOANGIOLOGICA,open,1,0,0,0,0,1,0
RELIGION,open,26,1,4,1,0,20,2
ELECTROCATALYSIS,open,52,0,2,0,0,0,0
REVIEWS IN CHEMICAL ENGINEERING,closed,145,1,0,0,0,3,1
JOURNAL OF MEDITERRANEAN ARCHAEOLOGY,closed,57,2,3,0,0,15,0
REMOTE SENSING,open,6189,57,381,84,59,3511,31
JOURNAL OF CLINICAL NEUROPHYSIOLOGY,open,51,2,14,0,1,31,0
JOURNAL OF FOOT & ANKLE SURGERY,closed,1451,9,107,12,5,576,5
NEUROEPIDEMIOLOGY,closed,222,12,16,16,4,88,0
AUSTRALIAN JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,closed,84,5,3,2,5,29,1
METEORITICS & PLANETARY SCIENCE,closed,460,9,18,15,0,90,15
SIAM JOURNAL ON IMAGING SCIENCES,open,359,8,9,1,0,63,4
ANIMAL BIOLOGY,closed,197,2,6,0,0,10,3
JOURNAL OF COMPARATIVE EFFECTIVENESS RESEARCH,closed,299,8,11,4,13,205,3
PUBLIC HEALTH NUTRITION,open,2014,156,435,236,148,1110,27
RESPIRATORY CARE,open,1068,24,258,22,32,641,10
GEOMORPHOLOGY,open,426,22,33,16,5,178,15
IEEE TRANSACTIONS ON IMAGE PROCESSING,closed,2187,4,6,5,0,96,8
JOURNAL OF RENAL NUTRITION,open,71,2,5,3,1,42,0
ADVANCED STEEL CONSTRUCTION,closed,4,0,0,0,0,0,0
ZEITSCHRIFT FUR SOZIOLOGIE,closed,57,1,2,1,0,11,0
INVERSE PROBLEMS IN SCIENCE AND ENGINEERING,open,58,1,0,0,0,13,0
HISTORIA CIENCIAS SAUDE-MANGUINHOS,open,506,370,149,6,0,159,4
REVIEWS IN THE NEUROSCIENCES,open,58,4,6,8,0,21,3
JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,open,33,0,0,0,0,7,0
GENES & GENOMICS,open,22,0,0,0,0,15,1
ANALELE STIINTIFICE ALE UNIVERSITATII AL I CUZA DIN IASI-SERIE NOUA-MATEMATICA,closed,3,0,0,0,0,0,0
ECOLOGICAL APPLICATIONS,open,329,47,66,55,22,252,7
AMERICAN JOURNAL OF SURGERY,open,181,8,14,8,0,88,2
RESPIRATION,open,667,8,35,14,36,237,4
EXPERIMENTAL PARASITOLOGY,closed,1085,25,40,0,22,463,15
INNATE IMMUNITY,closed,217,1,13,0,1,85,4
CEMENT & CONCRETE COMPOSITES,closed,1031,3,3,5,6,32,4
TECHNOLOGY AND HEALTH CARE,open,146,1,3,2,1,16,1
BRITISH JOURNAL OF PHARMACOLOGY,closed,260,8,32,19,0,161,5
ENDOCRINOLOGIA DIABETES Y NUTRICION,closed,126,0,8,1,0,41,0
INDUSTRIAL MANAGEMENT & DATA SYSTEMS,closed,515,3,10,1,0,43,4
JOURNAL OF MACROMOLECULAR SCIENCE PART A-PURE AND APPLIED CHEMISTRY,open,13,0,0,0,0,0,0
BIOLOGICAL AGRICULTURE & HORTICULTURE,closed,158,0,6,1,2,18,1
EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING,closed,537,0,4,2,0,7,0
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,open,36,4,15,13,0,26,1
B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,closed,273,14,2,9,4,22,2
AMERICAN JOURNAL OF PHYSICS,closed,496,20,46,8,2,186,16
BRAIN INJURY,open,132,5,23,9,5,92,1
OPHTHALMOLOGICA,open,88,0,3,0,3,30,0
PHILOSOPHIA AFRICANA,closed,35,0,0,0,0,0,0
ANXIETY STRESS AND COPING,open,75,9,5,8,1,43,2
JOURNAL OF INSTITUTIONAL ECONOMICS,closed,147,16,10,4,1,56,1
AMERICAN JOURNAL OF GERIATRIC PHARMACOTHERAPY,closed,29,0,2,0,4,7,0
CYTOTHERAPY,open,174,32,14,18,1,97,2
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,open,185,16,23,17,25,127,4
MAGNETIC RESONANCE IMAGING CLINICS OF NORTH AMERICA,open,29,0,1,0,1,7,2
COGNITION & EMOTION,open,232,52,27,26,0,159,5
DAEDALUS,closed,280,25,18,13,9,104,7
AQUATIC INVASIONS,open,324,5,3,3,6,6,5
MATHEMATICAL CONTROL AND RELATED FIELDS,closed,2,0,0,0,0,0,0
JOURNAL OF CYSTIC FIBROSIS,closed,280,4,20,10,13,265,1
ADVANCED MATERIALS INTERFACES,closed,1446,37,14,112,0,218,4
JOURNAL OF THE HELLENIC VETERINARY MEDICAL SOCIETY,open,32,0,0,0,0,0,0
STAT,closed,39,2,3,0,0,10,0
JOURNAL OF CONTEMPORARY PHYSICS-ARMENIAN ACADEMY OF SCIENCES,closed,357,0,0,0,0,1,0
ACCOUNTS OF CHEMICAL RESEARCH,closed,1570,83,77,57,6,637,65
GROUP & ORGANIZATION MANAGEMENT,closed,152,11,5,15,4,143,1
ENGINEERING STRUCTURES,closed,4176,4,29,8,16,103,8
JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,open,82,0,4,4,0,44,1
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,closed,196,8,43,7,0,93,19
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,closed,956,1,0,2,0,27,0
JOURNAL OF THE HISTORY OF SEXUALITY,closed,102,0,1,0,0,2,0
JOURNAL OF MOLECULAR LIQUIDS,open,167,0,3,3,0,31,0
SOCIOLOGICAL METHODOLOGY,open,22,1,1,1,2,14,1
INTERNATIONAL JOURNAL OF AEROSPACE PSYCHOLOGY,closed,12,2,0,1,0,3,0
CRITICAL ARTS-SOUTH-NORTH CULTURAL AND MEDIA STUDIES,closed,307,1,14,1,0,71,3
ASIA PACIFIC JOURNAL OF HUMAN RESOURCES,open,28,1,4,1,1,10,1
BULLETIN OF INDONESIAN ECONOMIC STUDIES,closed,91,2,62,4,3,68,0
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,open,4,0,0,0,0,2,0
HUMAN COMMUNICATION RESEARCH,open,15,1,5,2,0,14,0
COMPUTERS & MATHEMATICS WITH APPLICATIONS,closed,1785,2,5,1,0,23,4
JOURNAL OF INTEGRATIVE AGRICULTURE,closed,1613,9,19,13,8,36,2
JOURNAL OF REGIONAL SCIENCE,open,125,13,9,8,13,54,2
NANO LETTERS,open,2286,400,223,354,4,1614,63
ACTA MATHEMATICA HUNGARICA,closed,555,0,1,0,0,2,0
FOOD BIOSCIENCE,closed,215,2,9,3,0,11,1
JOURNAL OF DEVELOPMENT ECONOMICS,closed,362,59,27,26,80,191,7
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,closed,367,1,0,1,0,3,1
ACTA MECHANICA SOLIDA SINICA,closed,375,0,0,0,0,2,0
JOURNAL OF ETHNOBIOLOGY,closed,140,7,9,2,1,53,7
HOKKAIDO MATHEMATICAL JOURNAL,closed,36,0,0,0,0,0,0
MICROBIAL CELL FACTORIES,open,1306,49,53,29,2,580,31
SEX ROLES,open,90,20,23,31,5,70,14
CHINESE JOURNAL OF ORGANIC CHEMISTRY,closed,187,0,0,0,0,0,0
JOURNAL OF CHEMICAL NEUROANATOMY,closed,345,3,18,18,0,117,3
EUROPEAN JOURNAL OF INTERNATIONAL LAW,open,279,40,29,7,8,154,11
DISCOURSE PROCESSES,open,43,2,7,1,0,22,0
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,open,377,13,31,15,13,184,4
REVIEW OF ENVIRONMENTAL ECONOMICS AND POLICY,closed,75,13,6,6,17,39,0
FINANCE AND STOCHASTICS,open,150,0,4,0,0,20,0
JOURNAL OF BONE AND MINERAL RESEARCH,closed,401,18,216,51,8,341,9
EXPERIMENTAL HEMATOLOGY,closed,476,10,25,5,2,252,3
JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT,open,20,3,4,2,0,13,1
JOURNAL OF PERIODONTAL AND IMPLANT SCIENCE,closed,2,0,0,0,0,0,0
JOURNAL OF HISTORICAL SOCIOLOGY,closed,171,4,20,6,0,81,4
FOOD SECURITY,open,167,36,23,18,22,94,2
ATMOSPHERE-OCEAN,open,62,1,1,1,1,11,0
ELEMENTS,open,25,0,3,2,1,12,1
CRYSTALLOGRAPHY REPORTS,open,3,0,0,0,0,0,0
JOURNAL OF OPERATIONAL RISK,open,9,0,0,0,0,1,0
INTERNATIONAL JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,closed,330,12,44,6,8,246,5
DRUG DESIGN DEVELOPMENT AND THERAPY,open,1901,32,262,56,20,1077,31
JOURNAL OF TECHNOLOGY TRANSFER,closed,297,2,7,6,11,177,2
JOURNAL OF FUEL CELL SCIENCE AND TECHNOLOGY,open,12,0,0,0,0,0,0
ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,closed,1293,41,23,5,2,567,223
FERTILITY AND STERILITY,open,494,42,254,104,26,363,19
LINGUISTIC TYPOLOGY,open,27,1,2,0,0,7,0
JOHNSON MATTHEY TECHNOLOGY REVIEW,open,130,0,1,0,1,0,3
APPLIED MEASUREMENT IN EDUCATION,closed,142,1,1,0,7,33,0
VIOLENCE AGAINST WOMEN,open,76,4,18,7,16,55,1
METABOLIC BRAIN DISEASE,open,157,7,17,9,0,73,3
GFF,closed,240,0,11,1,0,57,21
JOURNAL OF MUSIC THEORY,closed,45,0,0,0,0,5,1
JOURNAL OF GEOSCIENCES,open,144,0,0,1,0,3,1
JOURNAL OF TRANSPORTATION SAFETY & SECURITY,closed,126,3,2,2,0,6,0
DYNA,open,246,0,1,0,0,1,0
POLITICAL GEOGRAPHY,closed,317,28,36,10,11,234,9
SCOTTISH MEDICAL JOURNAL,closed,270,6,9,6,8,72,5
LIQUID CRYSTALS,open,80,0,1,0,0,7,0
ROMANIAN JOURNAL OF LEGAL MEDICINE,closed,334,0,0,0,0,0,1
VOIX & IMAGES,open,194,0,2,0,0,1,1
BIOENERGY RESEARCH,open,174,0,4,1,1,33,4
SURFACE SCIENCE,open,341,5,4,5,0,74,2
IET COMMUNICATIONS,closed,2116,0,8,0,0,27,0
JOURNAL OF BIOMECHANICS,closed,2280,16,190,28,4,1048,6
ALGEBRAS AND REPRESENTATION THEORY,closed,203,0,2,0,0,4,0
NEUROSURGICAL FOCUS,open,815,13,201,38,2,370,21
JOURNAL OF GENE MEDICINE,open,44,0,3,6,0,14,0
CURRENT OPINION IN ORGAN TRANSPLANTATION,open,99,2,6,1,0,64,1
MATHEMATICAL INTELLIGENCER,open,46,8,5,2,0,21,7
MICROVASCULAR RESEARCH,closed,480,2,8,4,1,132,1
PROTECTION OF METALS AND PHYSICAL CHEMISTRY OF SURFACES,closed,1022,2,1,1,0,3,0
EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,closed,5336,40,250,78,1,1778,19
JOURNAL OF MATERIALS CHEMISTRY,open,211,16,8,1,0,20,2
AUSTRALASIAN JOURNAL OF DERMATOLOGY,open,19,0,4,4,3,13,1
MAGNETOHYDRODYNAMICS,open,20,0,1,0,0,1,0
EUROPEAN JOURNAL OF POPULATION,closed,14,0,2,0,0,9,0
PHILOSOPHY TODAY,closed,309,0,6,0,6,9,3
PLASMONICS,closed,1366,1,4,1,0,31,6
FOLIA LINGUISTICA,closed,132,0,1,0,0,3,3
CENTAURUS,open,20,1,2,0,0,6,3
AUSTRALIAN METEOROLOGICAL AND OCEANOGRAPHIC JOURNAL,open,54,0,0,0,5,0,0
COMBUSTION THEORY AND MODELLING,open,41,1,1,1,0,6,0
MATERIALS SCIENCE AND TECHNOLOGY,open,140,1,1,0,0,17,2
ENVIRONMENTAL & ENGINEERING GEOSCIENCE,closed,95,1,1,0,0,5,0
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,closed,180,3,9,0,2,45,6
CONGENITAL HEART DISEASE,open,73,0,5,1,0,25,0
BIOLOGICAL RESEARCH,open,353,5,48,9,1,222,4
JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,open,276,0,10,0,2,25,0
ENVIRONMENTAL RESEARCH,open,603,45,118,102,84,407,15
BULLETIN OF HISPANIC STUDIES,closed,376,0,3,1,0,59,0
LIGHTING RESEARCH & TECHNOLOGY,open,84,1,1,11,4,37,2
INTERNATIONAL UROLOGY AND NEPHROLOGY,open,137,1,4,5,1,30,0
BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS,open,2,0,0,0,0,0,0
PRAMANA-JOURNAL OF PHYSICS,closed,1174,0,3,0,0,9,2
AUSTRALIAN VETERINARY JOURNAL,open,29,1,4,2,0,20,2
JOURNAL OF MIDDLE EAST WOMENS STUDIES,closed,135,13,3,0,0,17,2
ZOOLOGICAL STUDIES,open,179,5,11,2,0,24,14
